date,equity,cash,positions,gross_exposure
2022-05-09,100000.0,100000.0,0,0.0
2022-05-10,100000.0,100000.0,0,0.0
2022-05-11,100000.0,100000.0,0,0.0
2022-05-12,100000.0,100000.0,0,0.0
2022-05-13,100000.0,100000.0,0,0.0
2022-05-16,100000.0,100000.0,0,0.0
2022-05-17,100000.0,100000.0,0,0.0
2022-05-18,100000.0,100000.0,0,0.0
2022-05-19,100000.0,100000.0,0,0.0
2022-05-20,100000.0,100000.0,0,0.0
2022-05-23,100000.0,100000.0,0,0.0
2022-05-24,100000.0,100000.0,0,0.0
2022-05-25,100000.0,100000.0,0,0.0
2022-05-26,100000.0,100000.0,0,0.0
2022-05-27,100000.0,100000.0,0,0.0
2022-05-30,99894.43932450001,31546.439324500017,2,0.6842022485153189
2022-05-31,99060.43932450001,31546.439324500017,2,0.6815435148519695
2022-06-01,99130.43932450001,31546.439324500017,2,0.6817683898158279
2022-06-02,99678.43932450001,31546.439324500017,2,0.6835179248563316
2022-06-03,100377.43932450001,31546.439324500017,2,0.6857218162089518
2022-06-06,100065.43932450001,31546.439324500017,2,0.6847419095198417
2022-06-07,100403.43932450001,31546.439324500017,2,0.6858032002017068
2022-06-08,101200.43932450001,31546.439324500017,2,0.6882776444937546
2022-06-09,101388.43932450001,31546.439324500017,2,0.6888556571668525
2022-06-10,98974.51118200002,30259.511182000017,3,0.6942696577065474
2022-06-13,95530.51118200002,30259.511182000017,3,0.6832476785940035
2022-06-14,96523.98590500001,62401.985905000016,2,0.35350798747145873
2022-06-15,97036.83716500002,63658.83716500002,1,0.34397246422247396
2022-06-16,97588.83716500002,63658.83716500002,1,0.3476832083021162
2022-06-17,97588.83716500002,63658.83716500002,1,0.3476832083021162
2022-06-20,97588.83716500002,63658.83716500002,1,0.3476832083021162
2022-06-21,96520.83716500002,63658.83716500002,1,0.3404653437042119
2022-06-22,96696.07028500002,96696.07028500002,0,0.0
2022-06-23,96696.07028500002,96696.07028500002,0,0.0
2022-06-24,96696.07028500002,96696.07028500002,0,0.0
2022-06-27,96696.07028500002,96696.07028500002,0,0.0
2022-06-28,96696.07028500002,96696.07028500002,0,0.0
2022-06-29,96696.07028500002,96696.07028500002,0,0.0
2022-06-30,96696.07028500002,96696.07028500002,0,0.0
2022-07-01,96696.07028500002,96696.07028500002,0,0.0
2022-07-04,96696.07028500002,96696.07028500002,0,0.0
2022-07-05,96696.07028500002,96696.07028500002,0,0.0
2022-07-06,96696.07028500002,96696.07028500002,0,0.0
2022-07-07,96696.07028500002,96696.07028500002,0,0.0
2022-07-08,96696.07028500002,96696.07028500002,0,0.0
2022-07-11,96696.07028500002,96696.07028500002,0,0.0
2022-07-12,96696.07028500002,96696.07028500002,0,0.0
2022-07-13,96696.07028500002,96696.07028500002,0,0.0
2022-07-14,95906.77153000004,29084.771530000042,1,0.6967391241931004
2022-07-15,96508.77153000004,29084.771530000042,1,0.6986307972953634
2022-07-18,95304.77153000004,29084.771530000042,1,0.6948235532903541
2022-07-19,95906.77153000004,29084.771530000042,1,0.6967391241931004
2022-07-20,97110.77153000004,29084.771530000042,1,0.7004990170321631
2022-07-21,96508.77153000004,29084.771530000042,1,0.6986307972953634
2022-07-22,95132.77153000004,29084.771530000042,1,0.6942717944380693
2022-07-25,94014.77153000004,29084.771530000042,1,0.6906361515677447
2022-07-26,93842.77153000004,29084.771530000042,1,0.6900691331276154
2022-07-27,94788.77153000004,29084.771530000042,1,0.6931622695332126
2022-07-28,96594.77153000004,29084.771530000042,1,0.6988991115221282
2022-07-29,96508.77153000004,29084.771530000042,1,0.6986307972953634
2022-08-01,98228.77153000003,29084.771530000042,1,0.7039078156330473
2022-08-02,99002.77153000004,29084.771530000042,1,0.7062226533609041
2022-08-03,99430.54979300004,7578.549793000045,3,0.923780469797487
