strategy,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
MC_HEALTHY_SMT_STRONG,ACB,2022-05-30,2022-06-14,15.017504999999998,14.002995,2300,34540.26149999999,32142.474723,-2397.786776999994,-0.06942005279838412,STOP_LOSS,11
MC_HEALTHY_SMT_STRONG,POW,2022-06-10,2022-06-15,12.856425,12.5937,100,1285.6425,1256.8512600000001,-28.79123999999979,-0.022394437022733606,STOP_LOSS,3
MC_HEALTHY_SMT_STRONG,FPT,2022-05-30,2022-06-22,56.40819,55.1724,600,33844.914,33037.233120000004,-807.6808799999926,-0.023864172915315805,STOP_LOSS,17
MC_HEALTHY_SMT_STRONG,BCM,2022-08-03,2022-08-25,70.25511,84.29783,200,14051.022,16825.846868000004,2774.8248680000033,0.19748206699840076,TAKE_PROFIT,16
MC_HEALTHY_SMT_STRONG,SSI,2022-08-04,2022-09-09,15.897945,14.67266,400,6359.178,5857.325872,-501.85212799999954,-0.07891776704473433,STOP_LOSS,24
MC_HEALTHY_SMT_STRONG,SHB,2022-07-14,2022-09-19,7.853924999999999,7.306345,8600,67543.75499999999,62708.897866,-4834.857133999991,-0.07158111262839904,STOP_LOSS,45
MC_HEALTHY_SMT_STRONG,BCM,2022-08-25,2022-09-30,84.38217,78.62067,200,16876.434,15692.685732,-1183.7482680000012,-0.0701420849925998,STOP_LOSS,24
MC_HEALTHY_SMT_STRONG,SAB,2022-08-03,2022-10-28,74.33715,75.86205000000001,100,7433.714999999999,7571.032590000001,137.31759000000147,0.018472269921567006,MAX_HOLDING,60
MC_HEALTHY_SMT_STRONG,VRE,2022-12-01,2022-12-12,30.065025,29.1854,100,3006.5025,2912.70292,-93.79957999999988,-0.031198903044318067,STOP_LOSS,7
MC_HEALTHY_SMT_STRONG,POW,2022-11-29,2022-12-26,9.344669999999999,9.125435000000001,1300,12148.070999999998,11839.339369000003,-308.7316309999951,-0.025414045653832214,STOP_LOSS,19
MC_HEALTHY_SMT_STRONG,SSI,2022-11-30,2022-12-26,12.476234999999999,12.133930000000001,200,2495.247,2421.932428,-73.31457199999977,-0.029381689267635538,STOP_LOSS,18
MC_HEALTHY_SMT_STRONG,TCB,2022-12-22,2022-12-27,13.116554999999998,12.11394,200,2623.3109999999997,2417.942424,-205.36857599999985,-0.078286019461665,STOP_LOSS,3
MC_HEALTHY_SMT_STRONG,STB,2022-11-29,2023-01-06,19.50975,24.237875000000003,600,11705.85,14513.639550000002,2807.7895500000013,0.23986208177962312,TAKE_PROFIT,27
MC_HEALTHY_SMT_STRONG,PLX,2022-11-29,2023-01-10,27.103544999999997,32.093945,400,10841.417999999998,12811.902844,1970.4848440000023,0.1817552689140851,TAKE_PROFIT,29
MC_HEALTHY_SMT_STRONG,HPG,2022-11-30,2023-01-18,13.296644999999998,16.661665000000003,200,2659.3289999999997,3325.6683340000004,666.3393340000007,0.25056671588961005,TAKE_PROFIT,34
MC_HEALTHY_SMT_STRONG,MSN,2022-11-29,2023-02-23,97.2486,91.45425,100,9724.859999999999,9127.13415,-597.7258499999989,-0.061463697163763695,STOP_LOSS,56
MC_HEALTHY_SMT_STRONG,CTG,2022-11-29,2023-03-01,16.578285,16.781605,700,11604.799500000001,11723.629253,118.82975299999816,0.01023970754514097,MAX_HOLDING,60
MC_HEALTHY_SMT_STRONG,VCB,2023-01-10,2023-04-11,48.494234999999996,50.01498,1500,72741.3525,74872.42506,2131.0725600000005,0.029296575974443156,MAX_HOLDING,60
MC_HEALTHY_SMT_STRONG,ACB,2023-01-18,2023-04-19,14.837415,14.53273,200,2967.483,2900.7329080000004,-66.75009199999977,-0.022493841413750226,MAX_HOLDING,60
MC_HEALTHY_SMT_STRONG,SHB,2023-04-11,2023-04-24,7.303649999999999,6.816590000000001,6200,45282.63,42178.332284000004,-3104.2977159999937,-0.06855382993434776,STOP_LOSS,9
