strategy,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
MC_RISK_ON_SMT_TOP,SSI,2022-08-02,2022-09-14,15.357674999999999,14.002995,1500,23036.512499999997,20962.483515,-2074.028984999997,-0.09003224706864797,STOP_LOSS,29
MC_RISK_ON_SMT_TOP,BCM,2022-08-02,2022-09-15,71.485725,86.57669000000001,300,21445.7175,25921.060986000004,4475.343486000005,0.208682385469267,TAKE_PROFIT,30
MC_RISK_ON_SMT_TOP,GVR,2022-08-04,2022-09-19,23.33166,22.978505,1400,32664.324,32105.567186,-558.7568140000003,-0.017106027175091708,STOP_LOSS,30
MC_RISK_ON_SMT_TOP,BCM,2022-09-16,2022-09-26,92.4462,89.51522000000001,500,46223.100000000006,44668.09478000001,-1555.005219999999,-0.03364130099452436,STOP_LOSS,6
MC_RISK_ON_SMT_TOP,SAB,2022-08-02,2022-10-27,72.726345,74.32282000000001,300,21817.903499999997,22252.252308000003,434.3488080000061,0.019907907650247247,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,GVR,2022-12-06,2022-12-07,14.88744,13.81309,900,13398.696,12406.917438,-991.7785619999995,-0.07402052871413752,STOP_LOSS,1
MC_RISK_ON_SMT_TOP,HPG,2022-12-06,2022-12-07,15.077535,13.623185000000001,900,13569.7815,12236.344767000002,-1333.4367329999968,-0.09826515872786876,STOP_LOSS,1
MC_RISK_ON_SMT_TOP,VRE,2022-12-06,2022-12-09,30.515249999999998,28.835575000000002,400,12206.099999999999,11511.161540000001,-694.9384599999976,-0.05693370200145809,STOP_LOSS,3
MC_RISK_ON_SMT_TOP,VHM,2022-12-06,2022-12-12,58.32914999999999,54.172900000000006,200,11665.829999999998,10812.910840000002,-852.9191599999958,-0.07311259978929883,STOP_LOSS,4
MC_RISK_ON_SMT_TOP,VIC,2022-12-06,2022-12-13,34.067024999999994,31.934025000000002,400,13626.809999999998,12748.06278,-878.7472199999975,-0.06448664214148415,STOP_LOSS,5
