strategy,exit_mode,trades,symbols,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold
SMT_PLUS_MC_PV,fixed,96,30,57.291666666666664,3.3444791666666673,1.9900000000000002,321.07000000000005,2.1745317529997075,10.807818181818183,-6.667317073170732,61.72,-24.29,19.895833333333332
SMT_PLUS_MC_SECTOR,lifecycle,112,28,35.714285714285715,2.1350892857142854,-2.5,239.12999999999997,1.8743327239488121,12.815750000000003,-3.852112676056338,96.73,-6.61,14.446428571428571
SMT_PLUS_MC_SECTOR_PV,lifecycle,61,24,32.78688524590164,1.9947540983606564,-2.68,121.68000000000004,1.7934272300469483,13.752,-3.740487804878049,96.73,-6.61,15.163934426229508
SMT_PLUS_MC_PV,lifecycle,101,30,35.64356435643564,1.7796039603960392,-2.33,179.73999999999995,1.7730087734388438,11.451666666666666,-3.633125,96.73,-7.83,13.910891089108912
SMT_ONLY,fixed,240,30,55.00000000000001,2.4127916666666667,0.8200000000000001,579.07,1.7391659539704625,10.321818181818182,-7.253796296296296,60.31,-40.15,19.754166666666666
SMT_PLUS_MC,fixed,167,30,55.08982035928144,2.2271257485029943,0.76,371.93000000000006,1.7326648806240645,9.56054347826087,-6.768533333333333,60.49,-29.58,19.880239520958085
SMT_PLUS_MC_SECTOR,fixed,103,28,52.42718446601942,1.849126213592233,0.6,190.46,1.5436122845073637,10.015185185185183,-7.150204081632653,60.49,-35.06,19.70873786407767
SMT_PLUS_MC,lifecycle,184,30,35.32608695652174,1.3130978260869566,-2.44,241.61,1.535281476394089,10.661230769230768,-3.8911206896551724,96.73,-7.83,13.320652173913043
SMT_PLUS_MC_SECTOR_PV,fixed,57,24,49.122807017543856,1.7161403508771929,-0.47,97.82,1.4936165918151085,10.57107142857143,-6.83344827586207,29.55,-24.29,19.82456140350877
SMT_ONLY,lifecycle,278,30,31.294964028776977,0.6892086330935253,-2.75,191.60000000000005,1.2615735368400933,10.621724137931034,-3.9170588235294117,96.73,-9.38,12.280575539568344
