,qa_best_strategy
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-20,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-30,100000.0
2020-01-31,99764.17094647602
2020-02-03,99925.45622234936
2020-02-04,99762.12276499289
2020-02-05,99678.99592944617
2020-02-06,100222.7751219124
2020-02-07,100366.76540622524
2020-02-10,100366.76540622524
2020-02-11,100405.7831360592
2020-02-12,100460.75351272234
2020-02-13,100481.27226373398
2020-02-14,100460.55778851468
2020-02-17,100285.19594108169
2020-02-18,100093.04572171778
2020-02-19,100142.06848049971
2020-02-20,100434.68907506588
2020-02-21,100389.16741822733
2020-02-24,100344.04754473896
2020-02-25,100702.35112790955
2020-02-26,100491.08361402979
2020-02-27,100595.27993016492
2020-02-28,99749.40681860164
2020-03-02,99840.53812456765
2020-03-03,100216.57592471689
2020-03-04,100289.4662294059
2020-03-05,100450.83672718769
2020-03-06,100164.25144629875
2020-03-09,98730.78234548014
2020-03-10,99156.06458652862
2020-03-11,97042.43493758349
2020-03-12,95555.9708415996
2020-03-13,95845.18889231682
2020-03-16,94960.72668224899
2020-03-17,96842.82876361175
2020-03-18,97049.0922410242
2020-03-19,95988.99991235774
2020-03-20,94802.2612037777
2020-03-23,90912.14426256096
2020-03-24,89697.87876957454
2020-03-25,93678.58290481838
2020-03-26,92816.34597498813
2020-03-27,91433.58996030039
2020-03-30,88536.06024309136
2020-03-31,87902.15029474454
2020-04-01,89620.17522817828
2020-04-03,90879.84068415302
2020-04-06,91569.96821550997
2020-04-07,91559.52049943786
2020-04-08,91559.52049943786
2020-04-09,91538.6517184423
2020-04-10,91533.03630017726
2020-04-13,91533.03630017726
2020-04-14,91533.03630017726
2020-04-15,91533.03630017726
2020-04-16,91533.03630017726
2020-04-17,91533.03630017726
2020-04-20,91533.03630017726
2020-04-21,91533.03630017726
2020-04-22,91533.03630017726
2020-04-23,91533.03630017726
2020-04-24,91533.03630017726
2020-04-27,91533.03630017726
2020-04-28,91533.03630017726
2020-04-29,91527.22575161695
2020-05-04,91677.73514263333
2020-05-05,91656.92008481841
2020-05-06,92061.16304544333
2020-05-07,92057.43701766663
2020-05-08,92057.43701766663
2020-05-11,92057.43701766663
2020-05-12,92057.43701766663
2020-05-13,92057.43701766663
2020-05-14,92057.43701766663
2020-05-15,92057.43701766663
2020-05-18,92057.43701766663
2020-05-19,92057.43701766663
2020-05-20,91720.0376592696
2020-05-21,91823.38425358059
2020-05-22,92136.63480973993
2020-05-25,92240.138697587
2020-05-26,92240.138697587
2020-05-27,92240.138697587
2020-05-28,92240.138697587
2020-05-29,92240.138697587
2020-06-01,92327.20241297032
2020-06-02,92362.93874223543
2020-06-03,92362.93874223543
2020-06-04,92362.93874223543
2020-06-05,92362.93874223543
2020-06-08,92389.27071076035
2020-06-09,92424.69202732289
2020-06-10,92424.69202732289
2020-06-11,92424.69202732289
2020-06-12,92818.42704944538
2020-06-15,92623.09792540976
2020-06-16,93052.55844417824
2020-06-17,93223.37914202474
2020-06-18,93178.4462834018
2020-06-19,93269.18035619028
2020-06-22,93427.26456382404
2020-06-23,93399.47024791462
2020-06-24,93233.75530276258
2020-06-25,93337.71326111523
2020-06-26,92993.77271617932
2020-06-29,91637.44122034892
2020-06-30,90409.6443609669
2020-07-01,91814.37625635217
2020-07-02,91772.56382182793
2020-07-03,91808.48550259735
2020-07-06,91996.2240100599
2020-07-07,92068.59316523929
2020-07-08,91888.17658351979
2020-07-09,91888.17658351979
2020-07-10,91888.17658351979
2020-07-13,91888.17658351979
2020-07-14,91888.17658351979
2020-07-15,91888.17658351979
2020-07-16,91888.17658351979
2020-07-17,91888.17658351979
2020-07-20,91888.17658351979
2020-07-21,91888.17658351979
2020-07-22,91888.17658351979
2020-07-23,91867.66479863352
2020-07-24,91415.47097481684
2020-07-27,90998.39506326857
2020-07-28,93567.91748552579
2020-07-29,92664.64624324985
2020-07-30,92839.96285089034
2020-07-31,92198.37724788263
2020-08-03,93528.79433398445
2020-08-04,94113.20499773607
2020-08-05,94231.59597488584
2020-08-06,94268.79129754116
2020-08-07,94268.79129754116
2020-08-10,94268.79129754116
2020-08-11,94268.79129754116
2020-08-12,94268.79129754116
2020-08-13,94268.79129754116
2020-08-14,94268.79129754116
2020-08-17,94268.79129754116
2020-08-18,94268.79129754116
2020-08-19,94268.79129754116
2020-08-20,94268.79129754116
2020-08-21,94268.79129754116
2020-08-24,94268.79129754116
2020-08-25,94268.79129754116
2020-08-26,94268.79129754116
2020-08-27,94268.79129754116
2020-08-28,94239.10453268737
2020-08-31,94232.81267210653
2020-09-01,94244.60991069557
2020-09-03,94260.54004913908
2020-09-04,94260.54004913908
2020-09-07,94260.54004913908
2020-09-08,94260.54004913908
2020-09-09,94260.54004913908
2020-09-10,94191.17210165206
2020-09-11,94152.06739867492
2020-09-14,94136.56692533496
2020-09-15,94177.67444703684
2020-09-16,94201.0898959276
2020-09-17,94186.16032582427
2020-09-18,94217.10007013487
2020-09-21,94241.41008256163
2020-09-22,94211.11984336305
2020-09-23,94417.00554955805
2020-09-24,94380.4939500798
2020-09-25,94337.13328232622
2020-09-28,94320.56475336266
2020-09-29,94187.63339109156
2020-09-30,94202.15343101294
2020-10-01,94336.63464671934
2020-10-02,94310.27539030794
2020-10-05,94310.27539030794
2020-10-06,94310.27539030794
2020-10-07,94310.27539030794
2020-10-08,94292.52506628731
2020-10-09,94290.34755370715
2020-10-12,94188.36375992205
2020-10-13,94213.12095878716
2020-10-14,94489.64613700517
2020-10-15,94582.62383978098
2020-10-16,94616.40775969681
2020-10-19,94645.04888871752
2020-10-20,94623.96096887083
2020-10-21,94586.0722367245
2020-10-22,94696.38578759653
2020-10-23,94742.84795227212
2020-10-26,94741.64093763837
2020-10-27,94634.4448152257
2020-10-28,94163.40471529686
2020-10-29,94416.38829010983
2020-10-30,94265.96613032135
2020-11-02,94487.97188389748
2020-11-03,94713.89844583356
2020-11-04,94853.32872344027
2020-11-05,94850.7937549051
2020-11-06,94764.16705304552
2020-11-09,95035.89614056984
2020-11-10,95239.0111099856
2020-11-11,95249.7911054328
2020-11-12,95276.36320735606
2020-11-13,95261.8230386223
2020-11-16,95227.78254459483
2020-11-17,95219.27242108797
2020-11-18,95201.3066047957
2020-11-19,95143.95936360944
2020-11-20,95143.95936360944
2020-11-23,95174.135961956
2020-11-24,95118.42899308883
2020-11-25,95131.68653392038
2020-11-26,95418.54724532872
2020-11-27,95655.23359954734
2020-11-30,95655.23359954734
2020-12-01,95761.4456218862
2020-12-02,95769.69139705668
2020-12-03,95768.52922238692
2020-12-04,95768.52922238692
2020-12-07,95768.52922238692
2020-12-08,95768.52922238692
2020-12-09,95768.52922238692
2020-12-10,95768.52922238692
2020-12-11,95768.52922238692
2020-12-14,95768.52922238692
2020-12-15,95768.52922238692
2020-12-16,95768.52922238692
2020-12-17,95768.52922238692
2020-12-18,95768.52922238692
2020-12-21,95768.52922238692
2020-12-22,95768.52922238692
2020-12-23,95768.52922238692
2020-12-24,95768.52922238692
2020-12-25,95770.97590059566
2020-12-28,95728.90348050071
2020-12-29,95781.11523398278
2020-12-30,95746.98146821445
2020-12-31,95733.9498046254
2021-01-04,95799.34373430215
2021-01-05,95807.89963120881
2021-01-06,95807.89963120881
2021-01-07,95807.89963120881
2021-01-08,95807.89963120881
2021-01-11,95807.89963120881
2021-01-12,95807.89963120881
2021-01-13,95807.89963120881
2021-01-14,95807.89963120881
2021-01-15,95807.89963120881
2021-01-18,95807.89963120881
2021-01-19,95807.89963120881
2021-01-20,95807.89963120881
2021-01-21,95835.60574143707
2021-01-22,95832.66458719912
2021-01-25,95825.07428085362
2021-01-26,95701.9426445818
2021-01-27,95331.5824392942
2021-01-28,93748.43965779713
