,qa_ensemble
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-20,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-30,100000.0
2020-01-31,99966.31013521085
2020-02-03,99989.35088890707
2020-02-04,99966.01753785611
2020-02-05,99954.14227563517
2020-02-06,100254.55269213193
2020-02-07,100321.0706801831
2020-02-10,100318.96014692374
2020-02-11,100338.22308791651
2020-02-12,100394.61612996312
2020-02-13,100411.76842150357
2020-02-14,100397.61951336473
2020-02-17,100304.0029477174
2020-02-18,100155.36640029462
2020-02-19,100177.85939428234
2020-02-20,100357.24182009362
2020-02-21,100310.26798255765
2020-02-24,100170.94271135864
2020-02-25,100560.2131966955
2020-02-26,100305.55974354451
2020-02-27,100375.00601869778
2020-02-28,99983.71957013603
2020-03-02,100108.78616936386
2020-03-03,100437.07162649622
2020-03-04,100439.88205176075
2020-03-05,100462.51379829063
2020-03-06,100381.61955852793
2020-03-09,99704.00607687881
2020-03-10,100929.03392799903
2020-03-11,98905.63576056242
2020-03-12,97197.9318451909
2020-03-13,97677.91233958925
2020-03-16,96060.11693351601
2020-03-17,96863.14102319225
2020-03-18,97191.5853333144
2020-03-19,96814.96739077731
2020-03-20,96545.02166272624
2020-03-23,95312.64473306017
2020-03-24,94811.09724828906
2020-03-25,96439.18858384453
2020-03-26,96256.27034147213
2020-03-27,96058.7337679453
2020-03-30,95644.80095120115
2020-03-31,95517.39337705937
2020-04-01,95787.4066607828
2020-04-03,96028.44956494834
2020-04-06,96218.67525653879
2020-04-07,96213.95036020996
2020-04-08,96213.95036020996
2020-04-09,96210.96910578203
2020-04-10,96210.16690317272
2020-04-13,96210.16690317272
2020-04-14,96210.16690317272
2020-04-15,96210.16690317272
2020-04-16,96210.16690317272
2020-04-17,96210.16690317272
2020-04-20,96210.16690317272
2020-04-21,96210.16690317272
2020-04-22,96210.16690317272
2020-04-23,96210.16690317272
2020-04-24,96225.25122858198
2020-04-27,96241.09780305727
2020-04-28,96241.09780305727
2020-04-29,96239.55103532366
2020-05-04,96254.18396549278
2020-05-05,96265.26299764436
2020-05-06,96327.74882747082
2020-05-07,96336.45336691882
2020-05-08,96344.11125089873
2020-05-11,96361.00596400903
2020-05-12,96387.05855899218
2020-05-13,96374.90661334801
2020-05-14,96373.9477850433
2020-05-15,96373.9477850433
2020-05-18,96373.34229269795
2020-05-19,96376.52590771377
2020-05-20,96324.32020399043
2020-05-21,96388.16442299563
2020-05-22,96666.58349816078
2020-05-25,96761.63346466047
2020-05-26,96760.44188539364
2020-05-27,96760.44188539364
2020-05-28,96761.96855943506
2020-05-29,96760.25631487273
2020-06-01,96781.74373611278
2020-06-02,96786.08470929431
2020-06-03,96787.28376735724
2020-06-04,96779.79684712998
2020-06-05,96777.41513690515
2020-06-08,96879.0642651564
2020-06-09,96904.13162174587
2020-06-10,96920.48268011987
2020-06-11,96630.95541125833
2020-06-12,96808.38969041666
2020-06-15,96491.64412247806
2020-06-16,96793.93060174651
2020-06-17,96873.85616910641
2020-06-18,96851.54026226944
2020-06-19,96902.42156962215
2020-06-22,96930.48205217208
2020-06-23,96921.92711312861
2020-06-24,96888.99034287532
2020-06-25,96870.88017313345
2020-06-26,96815.12185187583
2020-06-29,96525.23864656348
2020-06-30,96197.71988956112
2020-07-01,96661.89164300881
2020-07-02,96626.75140484807
2020-07-03,96643.27013068293
2020-07-06,96719.90281654659
2020-07-07,96740.30559653783
2020-07-08,96713.59957455315
2020-07-09,96807.32454727132
2020-07-10,96746.3812331027
2020-07-13,96741.53278693554
2020-07-14,96753.15916256155
2020-07-15,96777.95700057856
2020-07-16,96857.48860306232
2020-07-17,96825.28754251938
2020-07-20,96698.00480492071
2020-07-21,96698.10155955277
2020-07-22,96626.19924342417
2020-07-23,96658.85316962168
2020-07-24,96065.29727768993
2020-07-27,95712.71694016329
2020-07-28,98249.92763921779
2020-07-29,97373.22359531329
2020-07-30,97563.93289796235
2020-07-31,96911.89232085225
2020-08-03,97176.65565211154
2020-08-04,97317.32137399995
2020-08-05,97333.8677727455
2020-08-06,97339.53479933845
2020-08-07,97339.0628390311
2020-08-10,97336.80523057608
2020-08-11,97334.53523346173
2020-08-12,97337.07091188044
2020-08-13,97352.68007600747
2020-08-14,97342.79109466812
2020-08-17,97343.637267037
2020-08-18,97329.33409175601
2020-08-19,97342.89237549221
2020-08-20,97337.79614135959
2020-08-21,97393.22918836719
2020-08-24,97496.13360323176
2020-08-25,97510.60477276897
2020-08-26,97504.73749286431
2020-08-27,97514.70576025627
2020-08-28,97531.74446501333
2020-08-31,97568.32138385346
2020-09-01,97666.44295329473
2020-09-03,97796.03292533744
2020-09-04,97779.1624880755
2020-09-07,97688.13514307536
2020-09-08,97709.48965225302
2020-09-09,97705.05039730959
2020-09-10,97680.55340097508
2020-09-11,97662.40365253238
2020-09-14,97700.45123979734
2020-09-15,97734.65132273825
2020-09-16,97743.20485059476
2020-09-17,97718.64439092697
2020-09-18,97859.87202466078
2020-09-21,97949.91405415651
2020-09-22,97986.02467522073
2020-09-23,98102.58686880671
2020-09-24,98029.14384425824
2020-09-25,98008.51884638573
2020-09-28,98060.30546491171
2020-09-29,97944.19444660934
2020-09-30,97974.77442170224
2020-10-01,98130.91822256407
2020-10-02,98079.96591761356
2020-10-05,98156.38786608416
2020-10-06,98154.93440795246
2020-10-07,98187.47353052549
2020-10-08,98180.23790262592
2020-10-09,98214.68867832632
2020-10-12,98236.07744614451
2020-10-13,98232.4918887142
2020-10-14,98379.46822584268
2020-10-15,98410.53694842446
2020-10-16,98449.28534471153
2020-10-19,98437.0819466506
2020-10-20,98467.03082139631
2020-10-21,98441.77349758921
2020-10-22,98543.32235712216
2020-10-23,98615.81788217391
2020-10-26,98485.88301594103
2020-10-27,98379.7428451046
2020-10-28,98028.14259411432
2020-10-29,98202.82511287101
2020-10-30,98122.99991424281
2020-11-02,98268.64025048571
2020-11-03,98371.99831077059
2020-11-04,98452.36517681912
2020-11-05,98420.50864476743
2020-11-06,98392.46114788626
2020-11-09,98534.03605096575
2020-11-10,98549.59406256143
2020-11-11,98552.91319738196
2020-11-12,98624.28602883262
2020-11-13,98709.87375315593
2020-11-16,98603.12684156136
2020-11-17,98766.65653169471
2020-11-18,98820.3401841565
2020-11-19,98905.47655564277
2020-11-20,98916.90755859703
2020-11-23,98969.78975928697
2020-11-24,98967.73389950159
2020-11-25,98990.68490793018
2020-11-26,99094.44706264957
2020-11-27,99221.56987799284
2020-11-30,99225.46728698286
2020-12-01,99302.40717987658
2020-12-02,99376.29321164133
2020-12-03,99417.09936139619
2020-12-04,99389.61925399826
2020-12-07,99428.96076083244
2020-12-08,99445.58033707787
2020-12-09,99496.43010364792
2020-12-10,99455.5604868721
2020-12-11,99545.56654192042
2020-12-14,99636.76692648482
2020-12-15,99584.81213550463
2020-12-16,99629.01565029449
2020-12-17,99508.32422097828
2020-12-18,99583.25968967626
2020-12-21,99659.81345775268
2020-12-22,99641.01122399369
2020-12-23,99631.51148838969
2020-12-24,99554.73224982599
2020-12-25,99652.20337369277
2020-12-28,99655.9827679525
2020-12-29,99703.90261010664
2020-12-30,99699.6225112942
2020-12-31,99719.96633276869
2021-01-04,99834.56187640059
2021-01-05,99982.7081511563
2021-01-06,100054.6583030557
2021-01-07,100114.69770231596
2021-01-08,100158.83994204146
2021-01-11,100237.51852637928
2021-01-12,100256.99293931296
2021-01-13,100231.55673104787
2021-01-14,100212.25663010642
2021-01-15,100210.6290896229
2021-01-18,100202.33779015303
2021-01-19,100050.10556000045
2021-01-20,100068.03463989966
2021-01-21,100105.33000624094
2021-01-22,100100.76900421003
2021-01-25,100107.20099505375
2021-01-26,99965.80613351248
2021-01-27,99781.19483161376
2021-01-28,98643.68490826346
