,symbol,fold,test_start,test_end,market_regime,selected_strategy_ids,ensemble_total_return,ensemble_sharpe_ratio,ensemble_max_drawdown,ensemble_win_rate,ensemble_number_of_trades
0,ACB,1,2022-01-13,2022-07-19,RISK_OFF,"qa_028,qa_094,qa_102,qa_059,qa_092,qa_068,qa_067",-0.0633121119454273,-0.7374302708453282,-0.1363020396538298,0.22321428571428573,112
1,ACB,2,2022-04-20,2022-10-18,RISK_OFF,"qa_028,qa_059,qa_055,qa_092,qa_070,qa_094,qa_102",-0.025923434094578535,-0.26741783266508956,-0.15060738585660238,0.21481481481481482,135
2,ACB,3,2022-07-20,2023-01-16,RISK_OFF,"qa_098,qa_059,qa_028,qa_063,qa_007,qa_015,qa_044",-0.02898733353299976,-0.740437287160925,-0.08123484377600776,0.22666666666666666,75
3,ACB,4,2022-10-19,2023-04-20,RISK_OFF,"qa_081,qa_098,qa_010,qa_066,qa_009,qa_023,qa_026",-0.02241193479386372,-0.7930672436022096,-0.04695819149878522,0.30985915492957744,71
4,ACB,5,2023-01-17,2023-07-21,RISK_OFF,"qa_023,qa_081,qa_063,qa_010,qa_079,qa_113,qa_066",-0.027947708492989776,-1.7654315412144652,-0.03560130285117924,0.36538461538461536,52
5,ACB,6,2023-04-21,2023-10-20,RISK_ON,"qa_023,qa_081,qa_079,qa_063,qa_026,qa_010,qa_009",0.0038412603153930025,0.17141786184543018,-0.04578179968003038,0.4,30
6,ACB,7,2023-07-24,2024-01-18,NEUTRAL,"qa_023,qa_081,qa_079,qa_063,qa_068,qa_099,qa_005",0.03994505160194595,1.3206151503560064,-0.05072611500930024,0.48148148148148145,27
7,ACB,8,2023-10-23,2024-04-24,RISK_ON,"qa_023,qa_079,qa_081,qa_063,qa_105,qa_099,qa_068",0.0606699655517462,1.6591598661129638,-0.02707138301144163,0.4827586206896552,29
8,ACB,9,2024-01-19,2024-07-25,RISK_ON,"qa_023,qa_105,qa_083,qa_099,qa_016,qa_079,qa_068",0.01914307408005267,0.5003960951505847,-0.03277362384276694,0.375,32
9,ACB,10,2024-04-25,2024-10-24,RISK_ON,"qa_105,qa_016,qa_017,qa_053,qa_068,qa_022,qa_005",0.07633293810182451,1.07615089922714,-0.06457141185946502,0.6666666666666666,30
10,ACB,11,2024-07-26,2025-01-22,NEUTRAL,"qa_105,qa_016,qa_017,qa_068,qa_053,qa_041,qa_024",-0.0011386376165594125,0.03978723516248165,-0.07502525622918732,0.34545454545454546,55
11,ACB,12,2024-10-25,2025-04-29,RISK_OFF,"qa_047,qa_111,qa_068,qa_078,qa_055,qa_105,qa_017",0.012680672028521744,0.29159007899381245,-0.07582604066313514,0.34146341463414637,41
12,ACB,13,2025-01-23,2025-07-30,RISK_ON,"qa_068,qa_070,qa_013,qa_039,qa_053,qa_005,qa_105",0.087544398916797,1.2798173304217066,-0.0946459983686685,0.4523809523809524,42
13,ACB,14,2025-05-05,2025-10-29,RISK_ON,"qa_013,qa_111,qa_047,qa_055,qa_077,qa_094,qa_102",0.15152663879395245,1.3041823129659915,-0.14964321189395513,0.47368421052631576,57
14,ACB,15,2025-07-31,2026-01-28,RISK_ON,"qa_013,qa_111,qa_047,qa_022,qa_077,qa_094,qa_102",-0.061475167542195175,-0.3474740330520023,-0.23042374762515516,0.2602739726027397,73
15,BCM,1,2022-01-17,2022-07-21,RISK_OFF,"qa_105,qa_011,qa_043,qa_065,qa_006,qa_024,qa_073",0.06866217466985503,0.6937441628965462,-0.12481578532666204,0.19318181818181818,88
16,BCM,2,2022-04-22,2022-10-20,RISK_OFF,"qa_105,qa_013,qa_043,qa_053,qa_040,qa_011,qa_005",0.29512516184668813,2.6674943124365544,-0.07189756514885626,0.36792452830188677,106
17,BCM,3,2022-07-22,2023-01-18,RISK_OFF,"qa_006,qa_105,qa_005,qa_014,qa_013,qa_065,qa_043",0.1826327465223987,2.5045656189530323,-0.06992241611894157,0.515625,64
18,BCM,4,2022-10-21,2023-04-24,RISK_OFF,"qa_105,qa_006,qa_013,qa_005,qa_065,qa_053,qa_043",-0.009178732805108503,-0.3155239795005306,-0.04193395069767203,0.3404255319148936,47
19,BCM,5,2023-01-19,2023-07-25,RISK_OFF,"qa_109,qa_105,qa_006,qa_043,qa_065,qa_011,qa_107",-0.04100906314089947,-1.275545904661612,-0.05609773399182705,0.24074074074074073,54
20,BCM,6,2023-04-25,2023-10-24,RISK_ON,"qa_050,qa_109,qa_006,qa_074,qa_105,qa_107,qa_019",-0.07022090515799884,-2.566506048368008,-0.10480006953880472,0.18867924528301888,53
21,BCM,7,2023-07-26,2024-01-22,NEUTRAL,"qa_019,qa_028,qa_027,qa_051,qa_005,qa_035,qa_043",-0.1473196039768777,-3.1035022561588126,-0.15125014968922024,0.25190839694656486,131
22,BCM,8,2023-10-25,2024-04-26,RISK_ON,"qa_109,qa_050,qa_074,qa_097,qa_107,qa_051,qa_035",-0.08281548490648072,-1.988556186479868,-0.09282732000935534,0.35,60
23,BCM,9,2024-01-23,2024-07-29,RISK_ON,"qa_097,qa_089,qa_035,qa_051,qa_006,qa_009,qa_079",-0.08340950381595102,-1.8336819446441446,-0.08740465996598312,0.38181818181818183,55
24,BCM,10,2024-05-02,2024-10-28,RISK_ON,"qa_097,qa_089,qa_035,qa_051,qa_082,qa_031,qa_009",-0.04057361951920091,-1.4101622141528583,-0.05074186234357858,0.4772727272727273,44
25,BCM,11,2024-07-30,2025-01-24,NEUTRAL,"qa_043,qa_113,qa_011,qa_067,qa_082,qa_097,qa_014",-0.06076203590017537,-1.164177795964283,-0.08586657743618464,0.375,48
26,BCM,12,2024-10-29,2025-05-06,RISK_OFF,"qa_089,qa_082,qa_097,qa_046,qa_017,qa_043,qa_118",0.004203153088263134,0.13241296758895385,-0.08504244335249767,0.28205128205128205,39
27,BCM,13,2025-02-03,2025-08-01,RISK_ON,"qa_082,qa_097,qa_044,qa_071,qa_095,qa_046,qa_017",-0.009287818804062375,-0.2165852059755849,-0.07338641346395758,0.17391304347826086,23
28,BCM,14,2025-05-07,2025-10-31,RISK_ON,"qa_097,qa_046,qa_020,qa_082,qa_118,qa_011,qa_090",0.008846711655934758,0.22199974060306008,-0.06620426649430611,0.3793103448275862,29
29,BCM,15,2025-08-04,2026-01-30,RISK_ON,"qa_090,qa_046,qa_011,qa_118,qa_010,qa_017,qa_068",-0.12985892785801667,-0.9954450149053076,-0.1760768069378289,0.2033898305084746,59
30,HDB,1,2022-01-06,2022-07-12,RISK_OFF,"qa_070,qa_010,qa_022,qa_090,qa_065,qa_092,qa_110",-0.16991486257400912,-1.862979738904311,-0.19905017599367614,0.17073170731707318,82
31,HDB,2,2022-04-13,2022-10-11,RISK_OFF,"qa_070,qa_078,qa_055,qa_102,qa_022,qa_005,qa_094",-0.17877868287822474,-2.0653113242135555,-0.17877868287822474,0.16363636363636364,110
32,HDB,3,2022-07-13,2023-01-09,RISK_OFF,"qa_044,qa_071,qa_095,qa_054,qa_090,qa_087,qa_007",0.014167076539571166,0.805595721682343,-0.022604963766392094,0.43243243243243246,37
33,HDB,4,2022-10-12,2023-04-13,RISK_OFF,"qa_044,qa_090,qa_071,qa_095,qa_054,qa_087,qa_010",0.016042792813237172,0.9134626598897568,-0.019435299836076503,0.5769230769230769,26
34,HDB,5,2023-01-10,2023-07-14,RISK_OFF,"qa_071,qa_095,qa_087,qa_044,qa_063,qa_054,qa_015",0.007854246629497075,0.9460786142818473,-0.008500553771359498,0.8,10
35,HDB,6,2023-04-14,2023-10-13,RISK_ON,"qa_071,qa_095,qa_087,qa_044,qa_020,qa_063,qa_003",-0.0018906182208683342,-0.11674073226170195,-0.012874233243714062,0.41935483870967744,31
36,HDB,7,2023-07-17,2024-01-11,NEUTRAL,"qa_071,qa_095,qa_087,qa_044,qa_020,qa_063,qa_076",0.001289722611106825,0.1272695984046054,-0.017094335934076277,0.3888888888888889,18
37,HDB,8,2023-10-16,2024-04-16,RISK_ON,"qa_071,qa_095,qa_087,qa_020,qa_044,qa_063,qa_068",0.03709937832374255,2.3479226091249017,-0.009464971269690037,0.5454545454545454,11
38,HDB,9,2024-01-12,2024-07-18,RISK_ON,"qa_071,qa_095,qa_068,qa_087,qa_044,qa_014,qa_063",0.0628143435581674,1.9564198556239714,-0.02778938922942298,0.7391304347826086,23
39,HDB,10,2024-04-17,2024-10-17,RISK_ON,"qa_068,qa_014,qa_080,qa_071,qa_095,qa_011,qa_113",0.15292476192967608,2.026415055212467,-0.07312870304051178,0.5,46
40,HDB,11,2024-07-19,2025-01-15,NEUTRAL,"qa_068,qa_011,qa_080,qa_105,qa_014,qa_043,qa_088",0.21716200677567832,2.0020010093042,-0.09858131964550898,0.4791666666666667,48
41,HDB,12,2024-10-18,2025-04-22,RISK_OFF,"qa_068,qa_079,qa_103,qa_011,qa_105,qa_080,qa_014",0.031348883993652876,0.55977585517203,-0.09795362594680102,0.3392857142857143,56
42,HDB,13,2025-01-16,2025-07-23,RISK_ON,"qa_068,qa_070,qa_011,qa_055,qa_005,qa_078,qa_105",0.23379741721774727,2.7488233298237192,-0.09549943277050899,0.5,40
43,HDB,14,2025-04-23,2025-10-22,RISK_ON,"qa_078,qa_068,qa_022,qa_103,qa_105,qa_006,qa_070",0.3095085082246065,2.232379545537033,-0.1276630147239527,0.625,40
44,HDB,15,2025-07-24,2026-01-21,RISK_ON,"qa_078,qa_022,qa_098,qa_105,qa_068,qa_011,qa_070",0.15812244505568662,1.0561266179937576,-0.14401448938957595,0.47058823529411764,51
45,HDB,16,2025-10-23,2026-04-28,RISK_ON,"qa_078,qa_022,qa_105,qa_090,qa_011,qa_006,qa_043",-0.0001250127389733624,0.13642700760673687,-0.11396974256743375,0.4222222222222222,45
46,BID,1,2022-01-06,2022-07-12,RISK_OFF,"qa_018,qa_027,qa_010,qa_031,qa_114,qa_090,qa_063",0.01630004447631972,0.3471864748690752,-0.09915175138856402,0.4375,64
47,BID,2,2022-04-13,2022-10-11,RISK_OFF,"qa_027,qa_051,qa_035,qa_019,qa_090,qa_018,qa_010",-0.010441940626629176,-0.3405091120080121,-0.041025624598807875,0.4675324675324675,77
48,BID,3,2022-07-13,2023-01-09,RISK_OFF,"qa_027,qa_107,qa_019,qa_116,qa_051,qa_018,qa_038",-0.013257182594393346,-0.4194957214388102,-0.03820670110675006,0.42105263157894735,114
49,BID,4,2022-10-12,2023-04-13,RISK_OFF,"qa_027,qa_107,qa_051,qa_018,qa_035,qa_075,qa_019",-0.017833410006923955,-0.6303221389614287,-0.03617192556740301,0.38461538461538464,104
50,BID,5,2023-01-10,2023-07-14,RISK_OFF,"qa_027,qa_087,qa_010,qa_090,qa_071,qa_095,qa_051",-0.017858151638797448,-0.6111454342869214,-0.052322997378615455,0.46153846153846156,52
51,BID,6,2023-04-14,2023-10-13,RISK_ON,"qa_087,qa_097,qa_071,qa_095,qa_090,qa_010,qa_006",-0.01966539993159966,-0.6226220890610049,-0.053443476847913174,0.36363636363636365,33
52,BID,7,2023-07-17,2024-01-11,NEUTRAL,"qa_087,qa_006,qa_071,qa_095,qa_090,qa_046,qa_054",0.00631572485583809,0.18587953612967348,-0.08199451396740365,0.4,40
53,BID,8,2023-10-16,2024-04-16,RISK_ON,"qa_087,qa_071,qa_095,qa_090,qa_091,qa_006,qa_010",0.08428423714124844,1.1909604142625683,-0.10424982968032048,0.4473684210526316,38
54,BID,9,2024-01-12,2024-07-18,RISK_ON,"qa_090,qa_087,qa_091,qa_071,qa_095,qa_010,qa_017",-0.014243634278047201,-0.1535529590949883,-0.13187601983402653,0.43137254901960786,51
55,BID,10,2024-04-17,2024-10-17,RISK_ON,"qa_087,qa_071,qa_095,qa_090,qa_017,qa_044,qa_010",-0.034046428715972965,-1.0331973027252006,-0.06354537383073666,0.4375,48
56,BID,11,2024-07-19,2025-01-15,NEUTRAL,"qa_071,qa_095,qa_044,qa_087,qa_090,qa_063,qa_015",-0.027809261241615646,-2.248224121257132,-0.03039704449805447,0.16666666666666666,24
