,strategy_id,family,logic,conditions,risk,symbols_tested,avg_score,score_std,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades,risk_rejections,qa_score
0,qa_103,mean_reversion,AND,stoch_k < 25 | willr_14 < -80,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",19,0.30647486921490147,0.7480468192138876,0.02162888479706642,0.6204547817162134,-0.051205935411625145,0.6293359418359419,360,6,0.40673640509597203
1,qa_015,mean_reversion,AND,volume_ratio_20 > 1.0 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",21,0.15551077068655528,0.49711799643552557,0.008297717992384688,0.3117429059106197,-0.014249988332349792,0.4859649122807018,213,9,0.3965319760177989
2,qa_068,volatility,AND,kc_width < 0.12 | bb_width < 0.12,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",20,0.30364240950118554,0.783470928584556,0.04681841160995636,0.6192679277156729,-0.10018538919818919,0.5395866038723182,324,5,0.39436269827722475
3,qa_087,mean_reversion,AND,stoch_k < 25 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",21,0.16181387155701174,0.5420826815543678,0.006977316616612545,0.3264962463215545,-0.01763723294374641,0.5160476190476191,260,6,0.38591190148267174
4,qa_071,mean_reversion,AND,stoch_k < 25 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",24,0.11291543110280212,0.6324862889396032,0.005637008169123112,0.23333042509258564,-0.0272044194711381,0.5149817985045259,416,6,0.36202368315904265
5,qa_044,volatility,AND,bb_percent < 0.2 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",24,0.1152267589019469,0.6658862746696551,0.0032271732304067473,0.24109241423069136,-0.031438000912603896,0.5592355495657383,383,6,0.3511632624481562
6,qa_095,mean_reversion,AND,close <= bb_lower | bb_percent < 0.2 | stoch_k < 25,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",24,0.09595991050117757,0.632630738402402,0.00417689149013454,0.19989479371025468,-0.026202769004950586,0.49976582325720253,357,6,0.34536818290860416
7,qa_063,mean_reversion,AND,volume_ratio_20 > 1.0 | close <= bb_lower,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",22,0.10748553335746486,0.7178978727047904,0.0050366334243032,0.22024698958380928,-0.02074475730865374,0.543730773963332,405,6,0.2889606128527594
8,qa_007,mean_reversion,AND,volume_ratio_20 > 1.0 | rsi_14 < 35,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",18,0.11211262066184796,0.5049525377165303,0.0061324491202476164,0.2300201648585857,-0.023685982517595974,0.5029365079365079,256,6,0.2870891385799038
9,qa_017,trend,OR,dmp_14 > dmn_14 | close > sma50,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",17,0.2002331547856062,0.6200640904543433,0.07786376706797132,0.4051675470784791,-0.12854874437012367,0.3495498819362456,271,9,0.2782186625970428
10,qa_010,momentum,OR,rsi_21 > 55 | macd_hist > 0,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",18,0.12143895281017873,0.6097406590110199,0.033229665540081006,0.27174580042058993,-0.12201423531070275,0.371740895270307,379,9,0.22532473979757578
11,qa_105,trend,OR,aroon_osc_14 > 0 | ema20 > ema50 | linreg_slope_14 > 0,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",17,0.15081124228046017,0.8015625219126726,0.0562312106694527,0.31781447391917567,-0.12482678939981724,0.3834657158317873,393,13,0.16657498332108878
12,qa_090,momentum,OR,stoch_k > 50 | rsi_14 > 50 | macd > macd_signal,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",18,0.040083892462344485,0.5358108254366162,0.011717052667764578,0.13024899906059662,-0.14277861434141603,0.3305516478985866,393,9,0.16257758854003318
13,qa_056,qa_broad,AND,roc_9 > 0 | dmp_14 > dmn_14 | aroon_osc_14 > 0,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",8,0.25628144594426555,0.744596757461541,0.05576799637690418,0.5231796121961937,-0.11019379533451239,0.4284120971620971,86,6,0.11710475246564692
14,qa_110,hybrid,AND,atr_pct < 0.06 | macd_hist > 0,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",8,0.11874656372298353,0.4407869982878347,0.028397667549155098,0.2751664151148782,-0.13677972049601053,0.32894789303363386,334,8,0.07659821214863771
15,qa_073,trend,OR,close > ema50 | close > sma50 | close > sma20,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",13,0.1092330858293298,0.7037517133223332,0.06687031672098953,0.24293677090805155,-0.16148197320496388,0.3040232274577625,320,9,0.06640129554477586
16,qa_011,volume,OR,close > vwma20 | obv > obv_ema20 | breakout_20_high >= True,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",15,0.10719237536930075,0.8643289420640246,0.07627306779651558,0.22564558032102877,-0.14256167565084166,0.29253305616941977,335,7,0.054780659169097606
17,qa_093,structure,OR,close > supertrend_10_3 | close > ema50,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",7,0.27647780043404885,0.8717655492665765,0.14282743855032964,0.5447227457915342,-0.1936590201340852,0.2929521266891509,207,11,0.0435792011438173
18,qa_053,structure,OR,close > supertrend_10_3 | breakdown_20_low <= False,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",17,0.04160774736509054,0.8327896922638762,0.04052822824961125,0.12244872381126946,-0.15887541507713784,0.333049778504324,267,11,0.034524959795735666
19,qa_085,structure,AND,rsi_14 > 55 | breakdown_20_low <= False,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",5,0.3077853223417429,1.0148005605264385,0.22123265229805528,0.5211058567149944,-0.09568700852585454,0.3965786260523103,114,8,0.019114673173440344
20,qa_005,structure,OR,close > high_20_prev | breakdown_20_low <= False | volume_ratio_20 > 1.5,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",15,0.14665859451713373,1.0552152134225667,0.07324922617638326,0.31915613709431495,-0.17447120941469366,0.33719381109086993,348,11,0.016268346524092592
21,qa_033,trend,AND,supertrend_dir > 0 | close > sma50,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",6,0.15230767803323603,0.6864485006275737,0.08468760000100065,0.29683235570436556,-0.10757389909623477,0.21008582061213643,88,9,-0.005600161870096931
22,qa_049,trend,AND,aroon_osc_14 > 0 | close > ema200,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}",7,0.1711879197155868,0.873871553413793,0.12873097641540412,0.31339629397687435,-0.12064760098735783,0.27270998677248676,99,6,-0.03689378432481594
23,qa_047,mean_reversion,OR,adx_14 < 25 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",13,-0.0015750162777961596,0.7287750637173223,0.002552290291525292,0.043773836435519464,-0.12113810791506736,0.4736833479020979,221,6,-0.03904462634913253
24,qa_061,structure,OR,aroon_up_14 > aroon_down_14 | breakout_20_high >= True | volume_ratio_20 > 1.5,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",3,0.3127554453297773,0.8984385860532933,0.09325999136194606,0.6199321005279883,-0.1259430117140032,0.44122697563874036,114,9,-0.04577811388877645
25,qa_120,qa_broad,AND,mom_10 > 0 | dmp_14 > dmn_14 | cmo_9 > 0,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",4,0.23898909337267213,0.8492812063116478,0.05711663087912653,0.48710729838104394,-0.10849772540793902,0.3529220779220779,89,6,-0.04623353272918325
26,qa_043,volume,OR,volume_spike >= True | obv > obv_ema20,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",6,0.20430373351426537,0.980250162316744,0.13329312874131619,0.3798703146949595,-0.12809681227804606,0.38182419575608434,201,7,-0.06361770759391117
