,symbol,folds,avg_score,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades
0,ACB,15,0.01258304362304898,0.015235251043576497,0.053398350295812524,-0.09343353418965118,0.40891696285327095,861
1,BCM,15,-0.2393941868830589,-0.007059489599677071,-0.4334902258260104,-0.10265613545075293,0.30599886849228,900
2,HDB,16,0.30619157735886404,0.05604289176462883,0.614310897086669,-0.08888369356929524,0.5115412756625163,674
3,BID,16,0.058698844092486276,0.003395309635188281,0.14196102715416545,-0.06650131187576466,0.53015361786724,756
4,GAS,16,-0.10202402214142757,0.020700031428044673,-0.19229210711369976,-0.060439890064955495,0.31657524878587545,874
5,CTG,16,0.17584190407736802,0.009483752082338284,0.36634944362743144,-0.050889716805245976,0.40862596932712475,430
6,FPT,16,0.0927493210019553,0.010355729050180446,0.22019868137245835,-0.10228369199663999,0.3711672867532526,910
7,BVH,16,-0.017579362526832017,0.006271676052482051,-0.00552574844633564,-0.08348995559704409,0.44006184016682204,793
8,MSN,16,-0.460452771457789,-0.05838873519293908,-0.8426662998996379,-0.10801500475044172,0.32098352324412377,1088
9,GVR,15,-0.24417732868921757,-0.028531480579013495,-0.41422078520952565,-0.14253745955375352,0.36367222472138955,1093
10,MBB,16,0.17060957781174196,0.027689929211676675,0.36182231029129974,-0.09304278048705454,0.4545212932430977,687
11,HPG,16,0.03538275640089314,0.003253668244147149,0.10644032598074855,-0.09406753531362641,0.4261390499749105,882
12,PLX,16,0.02995876922979774,0.03012835268245464,0.07119838528029517,-0.07339464607543116,0.356403998479636,747
13,POW,16,-0.18104810354479697,-0.0318733397393073,-0.3063184191147671,-0.09163446032810588,0.3693821390568532,1009
14,MWG,16,0.10412238737139486,0.02203294863813732,0.23497232393443745,-0.09986829593632544,0.3880028845557698,961
15,SAB,16,-0.24239597776703953,-0.011673214436058387,-0.4601838125072356,-0.04401053591302122,0.3614770530924707,492
16,SSI,16,-0.08239305498888469,0.010321196180089523,-0.11651570775939023,-0.13615779981608211,0.3666912180050402,1359
17,SSB,11,-0.2123947758505016,-0.024660201650662936,-0.3852110110790266,-0.06195604907894708,0.32657402121687834,324
18,SHB,15,-0.03554891325433762,0.033986622665684724,-0.06437828093621333,-0.06777879792968187,0.36938006127081763,544
19,STB,16,0.20184226889521686,0.002990572869476456,0.4381974027167298,-0.0907680216199548,0.5192897240448968,992
20,TCB,16,-0.01635406021894392,0.028572569040292435,0.00022538066921923587,-0.12519260632820636,0.37495865616854923,813
21,VHM,16,-0.3137971417935946,0.03766021055699779,-0.6093310162892129,-0.10214848408043697,0.32583213926677335,735
22,VCB,16,-0.11720626800173442,-0.007898122331078974,-0.20339371712826565,-0.06569986369138957,0.36131091131091125,684
23,TPB,16,-0.2343022784784754,-0.04163422968058276,-0.40065277279251316,-0.1074281158902199,0.32977832104482135,785
24,VIB,15,-0.04111806640668293,-0.005053769249416832,-0.05124754194893796,-0.06989082328694461,0.37569191677663955,708
25,VIC,16,0.006818627125199142,0.1652600729438576,-0.0493277655295801,-0.09047755996584034,0.332470569988117,847
26,VJC,16,-0.32176170899202716,-0.021154048903144273,-0.6093937663189083,-0.053593055808148264,0.33178542250233434,529
27,VPB,16,-0.238067898745859,-0.017836307178781603,-0.4275089544251603,-0.09481264689822212,0.3607431746990627,741
28,VRE,16,-0.06910540967024636,-0.031139032298525778,-0.0847610211796215,-0.0869159469543894,0.4884222815613793,601
29,VNM,16,-0.20043112313003805,-0.0054887009798432265,-0.38350295917275584,-0.035165166248536064,0.2923793840088483,462
