symbol,best_strategy_id,best_final_score,best_total_return,best_sharpe_ratio,best_max_drawdown,best_win_rate,best_trades,ensemble_total_return,ensemble_sharpe_ratio,ensemble_max_drawdown,ensemble_win_rate,ensemble_trades
ACB,qa_022,0.9105559190040239,-0.08275138861645503,-0.3027988070699964,-0.1295123846153846,0.5833333333333334,12,0.21573426037508203,0.29369834275701184,-0.3850346262901978,0.38333333333333336,360
BCM,qa_098,-0.07411974526177229,0.05075851311012869,0.16084335456161805,-0.14449055111823705,0.48,25,-0.10337243330253831,-0.08785212965467387,-0.3083714432574215,0.3338983050847458,590
BID,qa_044,0.6417189308617492,0.18523827841084373,0.2623029689330826,-0.4067709960698771,0.34831460674157305,178,0.23134540621435962,0.28750207158919244,-0.26920197486594244,0.36492890995260663,844
BVH,qa_044,0.5660570831453965,-0.12149538794753578,0.090483126081302,-0.5378877359547086,0.30601092896174864,183,-0.17004780359188165,0.0005886899584806167,-0.5092759045987659,0.33515731874145005,731
CTG,qa_001,0.7690128196931343,-0.022167752386154316,-0.15384113825743972,-0.0598402338990206,0.5,10,0.01416628275102605,0.0988210988738698,-0.37864658507906535,0.37872340425531914,235
FPT,qa_092,1.197813455806402,0.9626324178603398,0.6849635847821886,-0.27826149568099057,0.35135135135135137,74,1.329582317651857,0.883052987091841,-0.2840630946556215,0.38345864661654133,532
GAS,qa_021,1.5410839140090173,0.35067914860726224,0.4529366961382788,-0.365937818897473,0.42735042735042733,117,0.3497876617611815,0.5026848726553049,-0.2519657813175348,0.43833580980683506,673
GVR,qa_072,0.752043089794054,-0.04564002012959356,0.25467930724977045,-0.7715143882617188,0.3208092485549133,346,-0.1388604430806505,-0.049189282648224246,-0.38399884548509,0.34203655352480417,766
HDB,qa_100,0.7137320261276076,0.5410810799718528,0.41173575790547357,-0.6849328549198024,0.3902439024390244,41,1.123005714941267,0.6487736005946217,-0.5106356844461002,0.4161490683229814,322
HPG,qa_056,0.4824723095970031,0.042107342977258266,0.12957725143021828,-0.3727967070433513,0.23529411764705882,51,-0.20146555664943533,-0.13419728060761912,-0.5328851800946661,0.2776280323450135,371
MBB,qa_068,0.7353615177531214,0.7069682475343553,0.5281651318535416,-0.31199216107159056,0.3472222222222222,72,0.765872913613008,0.6288056902799602,-0.3000334158264586,0.35454545454545455,440
MSN,qa_043,0.5640760087409585,0.11232361442678895,0.4537180041438545,-0.05099229426315266,0.625,16,0.029767584501647404,0.1187294573442209,-0.38421948043856735,0.3460559796437659,393
MWG,qa_036,0.809376330318113,-0.12061196199709578,0.03330866512849754,-0.501747551801728,0.313953488372093,86,0.0653417106706462,0.15842648158332193,-0.20430371786022838,0.4507269789983845,619
PLX,qa_066,0.8623597624917706,0.06957936786635188,0.16886018792365357,-0.40849530725660854,0.2542372881355932,59,-0.03604052137215652,-0.01703558274215705,-0.2523577002290952,0.31805929919137466,371
POW,qa_058,0.38276180142221905,-0.5545395803111328,-0.25197137842619305,-0.8027357752623572,0.26,50,-0.36391687683523744,-0.3185489091472356,-0.49942355425682594,0.3484626647144949,683
SAB,qa_078,-0.001902449640560279,-0.04025272979439154,-0.10102512882824762,-0.12255670211481273,0.42857142857142855,21,-0.06132368213507089,-0.25176998362831043,-0.10369259416498533,0.38064516129032255,155
SHB,qa_071,1.2777571542428574,0.6125812059513494,0.44869083103454876,-0.6073150083156692,0.275,80,0.7760604819571806,0.5141417204121944,-0.6115323560837523,0.3252496433666191,701
SSB,qa_062,0.12215862739822195,0.3556672734722821,0.49096224329831273,-0.22811138866227842,0.3157894736842105,57,0.34968563860642754,0.6370257051116789,-0.1433543964965499,0.43050847457627117,295
SSI,qa_092,1.0775379161772325,1.3265292210816209,0.6466384247776605,-0.3951451989107637,0.4,100,0.5060916359588059,0.451331613681086,-0.3882584948848069,0.3870967741935484,589
STB,qa_100,0.7604899127214053,0.3528040150378631,0.3442593005682548,-0.7338799873508983,0.4,60,0.8375137785828084,0.5521008764077108,-0.5048168600418407,0.3991130820399113,451
