,qa_best_strategy
2022-05-09,100000.0
2022-05-10,104836.1676473556
2022-05-11,105303.46963187822
2022-05-12,99386.02119488787
2022-05-13,93459.99297177386
2022-05-16,92091.78869309234
2022-05-17,97229.33696280706
2022-05-18,98039.77273183023
2022-05-19,98053.12844646728
2022-05-20,98034.30055597315
2022-05-23,95881.46013469905
2022-05-24,97379.86664565536
2022-05-25,100306.0786377774
2022-05-26,100223.91599344234
2022-05-27,101690.48121548424
2022-05-30,102261.56492744279
2022-05-31,102071.29368511942
2022-06-01,102341.2711055106
2022-06-02,101502.37740111341
2022-06-03,101410.55951615343
2022-06-06,101539.54514351927
2022-06-07,101731.39865260823
2022-06-08,103682.14036145937
2022-06-09,103489.71898690013
2022-06-10,101441.00796800894
2022-06-13,96367.16151133961
2022-06-14,96466.3973833422
2022-06-15,95475.06084993153
2022-06-16,97332.92071871547
2022-06-17,96363.5616819434
2022-06-20,93884.43188638485
2022-06-21,93109.84363471792
2022-06-22,92503.1261126535
2022-06-23,94167.37467884446
2022-06-24,93756.69061165534
2022-06-27,95188.30395827816
2022-06-28,96974.03179021126
2022-06-29,96876.5639752797
2022-06-30,95072.71180075251
2022-07-01,95604.47721994379
2022-07-04,95748.94305994749
2022-07-05,94907.86253689762
2022-07-06,92625.66656628194
2022-07-07,93564.08259846993
2022-07-08,93580.12629432224
2022-07-11,91941.71677063039
2022-07-12,93196.65930745556
2022-07-13,93319.20860418226
2022-07-14,94021.91451660964
2022-07-15,93501.55992015611
2022-07-18,93368.83319179357
2022-07-19,93607.37638696222
2022-07-20,94936.65755225805
2022-07-21,95359.2405521198
2022-07-22,95145.42083621635
2022-07-25,94393.13348185728
2022-07-26,94140.69226626496
2022-07-27,94585.93073576396
2022-07-28,96611.37310798831
2022-07-29,96664.8369316713
2022-08-01,99162.02848707658
2022-08-02,99349.39236425831
2022-08-03,100272.40629225383
2022-08-04,100545.00563766088
2022-08-05,100422.67120321236
2022-08-08,100607.77990433658
2022-08-09,100713.39083269224
2022-08-10,100287.78807460685
2022-08-11,100114.20208030683
2022-08-12,100940.91787992559
2022-08-15,102111.40483811649
2022-08-16,102033.3895795243
2022-08-17,102002.51429817047
2022-08-18,101980.57816064655
2022-08-19,101559.46153482964
2022-08-22,101235.30027812952
2022-08-23,102142.79572031139
2022-08-24,102406.35318488354
2022-08-25,103681.39487277763
2022-08-26,103214.00050578917
2022-08-29,102238.54272447186
2022-08-30,102851.1983514943
2022-08-31,103009.75792314326
2022-09-05,102512.11282862995
2022-09-06,102637.27683417883
2022-09-07,99783.69953039527
2022-09-08,99036.42692503148
2022-09-09,99779.89624613199
2022-09-12,99575.68105462687
2022-09-13,99511.04087274111
2022-09-14,98588.43428750598
2022-09-15,98973.18822081975
2022-09-16,98085.40217357049
2022-09-19,95488.54275453687
2022-09-20,96139.88942137198
2022-09-21,95556.64493319245
2022-09-22,95795.7311112909
2022-09-23,94923.17216866749
2022-09-26,92054.68983445637
2022-09-27,91941.5534962236
2022-09-28,90787.87983366339
2022-09-29,89849.70785839032
2022-09-30,90422.41432136814
2022-10-03,88977.44665745397
2022-10-04,89212.15618145236
2022-10-05,89871.15913200649
2022-10-06,88254.37608168604
2022-10-07,86814.65233930417
2022-10-10,86690.04279856657
2022-10-11,85294.96741167299
2022-10-12,85959.64093646458
2022-10-13,86564.57271526907
2022-10-14,87086.64837005424
2022-10-17,86797.0155986577
2022-10-18,87216.57568574183
2022-10-19,87015.5947512108
2022-10-20,86855.89106904058
2022-10-21,84834.64931123354
2022-10-24,84834.64931123354
2022-10-25,85519.90261910539
2022-10-26,85435.42256423284
2022-10-27,87196.87076050567
2022-10-28,87191.25794589186
2022-10-31,87379.39817878335
2022-11-01,87883.45246874858
2022-11-02,87191.15183668467
2022-11-03,87024.4699288605
2022-11-04,86182.99642319794
2022-11-07,85210.21891751223
2022-11-08,85856.4874903162
2022-11-09,86107.80516061836
2022-11-10,86107.80516061836
2022-11-11,86707.41203910328
2022-11-14,86301.4677700188
2022-11-15,86301.4677700188
2022-11-16,87092.06662453877
2022-11-17,88288.26634759139
2022-11-18,88193.77830765302
2022-11-21,87843.64486655478
2022-11-22,87578.46065578723
2022-11-23,87587.58966420259
2022-11-24,87749.34978859687
2022-11-25,88923.68838478206
2022-11-28,90476.08592933258
2022-11-29,91280.31985612382
2022-11-30,91958.77950521719
2022-12-01,91686.46988347474
2022-12-02,95828.649932688
2022-12-05,97406.54416608208
2022-12-06,92548.53204801725
2022-12-07,91770.17777471186
2022-12-08,93266.14786147253
2022-12-09,93569.23060257775
2022-12-12,91518.74035328801
2022-12-13,93317.96287081091
2022-12-14,93373.72694440548
2022-12-15,94071.77872182308
2022-12-16,93663.40260290442
2022-12-19,92744.57604766959
2022-12-20,91169.21319189413
2022-12-21,91311.26184924919
2022-12-22,91919.8745281123
2022-12-23,91580.70003664268
2022-12-26,87942.6877221566
