,qa_ensemble
2022-05-09,100000.0
2022-05-10,101934.46705894223
2022-05-11,102138.01384157297
2022-05-12,99769.87663349527
2022-05-13,97359.6364823442
2022-05-16,96796.97471949182
2022-05-17,98875.40608341937
2022-05-18,99198.43568331089
2022-05-19,99251.37125623756
2022-05-20,99235.70607387759
2022-05-23,98371.61604778343
2022-05-24,98972.68418828673
2022-05-25,100170.13338353646
2022-05-26,100137.50484368709
2022-05-27,100875.77722407794
2022-05-30,101132.29248482647
2022-05-31,101108.94713912328
2022-06-01,101265.09255101644
2022-06-02,100800.25197733553
2022-06-03,100720.85862573705
2022-06-06,100867.50687411983
2022-06-07,101076.55412967196
2022-06-08,102214.56002283933
2022-06-09,102120.94179705471
2022-06-10,100559.47542842661
2022-06-13,97220.70617215194
2022-06-14,97171.2830638384
2022-06-15,96207.17113997339
2022-06-16,97506.00497711996
2022-06-17,96868.9688311553
2022-06-20,94866.41234776046
2022-06-21,94446.27708329292
2022-06-22,94305.68000759475
2022-06-23,95301.36148831948
2022-06-24,95028.61839406673
2022-06-27,95874.09076567237
2022-06-28,96955.24142475918
2022-06-29,97047.06500843856
2022-06-30,95806.04415748609
2022-07-01,96176.34040045753
2022-07-04,96234.84434951888
2022-07-05,95691.23664703814
2022-07-06,94202.3663017769
2022-07-07,94985.56169184674
2022-07-08,94958.75168501954
2022-07-11,93859.73252366291
2022-07-12,94652.48806155758
2022-07-13,94730.27714033668
2022-07-14,95183.52810197664
2022-07-15,94866.27889867543
2022-07-18,94734.48827670726
2022-07-19,94851.17095938847
2022-07-20,95695.20790055947
2022-07-21,95969.3032126443
2022-07-22,95781.3211287478
2022-07-25,95210.70760967619
2022-07-26,95049.71265141072
2022-07-27,95340.26089385447
2022-07-28,96663.9689212076
2022-07-29,96735.57131867377
2022-08-01,98434.78422566582
2022-08-02,98541.87661497155
2022-08-03,99203.27141455575
2022-08-04,99352.54114157257
2022-08-05,99312.93578688086
2022-08-08,99468.10586729343
2022-08-09,99535.36675980508
2022-08-10,99203.90418682905
2022-08-11,99009.99607752259
2022-08-12,99667.87432813061
2022-08-15,100582.39166962019
2022-08-16,100524.6046600932
2022-08-17,100495.7859460574
2022-08-18,100488.41631763338
2022-08-19,100188.80053641016
2022-08-22,99873.53743747907
2022-08-23,100530.36753852203
2022-08-24,100719.51754689553
2022-08-25,101588.78257936817
2022-08-26,101257.91069348881
2022-08-29,100452.21941204912
2022-08-30,100979.206404399
2022-08-31,101132.13026921322
2022-09-05,100784.36265346935
2022-09-06,100829.9483055065
2022-09-07,98658.17683714611
2022-09-08,98181.55304664973
2022-09-09,98765.24922429734
2022-09-12,98679.30293200245
2022-09-13,98615.54179172743
2022-09-14,97952.4466793739
2022-09-15,98363.54501230725
2022-09-16,97841.02763913047
2022-09-19,96042.38889591047
2022-09-20,96541.41997278616
2022-09-21,96073.73109797167
2022-09-22,96187.39084469847
2022-09-23,95611.25860516896
2022-09-26,93923.10895062936
2022-09-27,93813.37226222784
2022-09-28,92856.3394177009
2022-09-29,92025.24788720053
2022-09-30,92399.33475450399
2022-10-03,91246.73299270537
2022-10-04,91045.80513590031
2022-10-05,91831.80498659323
2022-10-06,90811.98036029506
2022-10-07,89812.81800841517
2022-10-10,89930.02898179746
2022-10-11,88766.47586095284
2022-10-12,89646.98425853848
2022-10-13,90057.31408513253
2022-10-14,90354.17900204146
2022-10-17,90193.84114396389
2022-10-18,90445.51591199747
2022-10-19,90326.29765469219
2022-10-20,90258.36669272027
2022-10-21,89212.06948305086
2022-10-24,89212.06948305086
2022-10-25,89624.22405998595
2022-10-26,89587.79835300847
2022-10-27,90583.38073597939
2022-10-28,90566.07482241066
2022-10-31,90678.29857613576
2022-11-01,90936.58016615815
2022-11-02,90555.59392917779
2022-11-03,90462.07902154079
2022-11-04,89873.59388307943
2022-11-07,89251.55195419196
2022-11-08,89743.23914832341
2022-11-09,89901.9568558872
2022-11-10,89901.9568558872
2022-11-11,90220.69801516033
2022-11-14,89983.06628468416
2022-11-15,89983.06628468416
2022-11-16,91100.85962970502
2022-11-17,91902.93392546973
2022-11-18,91828.92363784135
2022-11-21,91627.34071930032
2022-11-22,91449.35090680179
2022-11-23,91439.8877771508
2022-11-24,91560.48573445345
2022-11-25,92244.0944156908
2022-11-28,93197.26818839126
2022-11-29,93791.6142006644
2022-11-30,94294.2130796075
2022-12-01,94005.85925688577
2022-12-02,97193.43826364363
2022-12-05,98260.56391875025
2022-12-06,94367.50124070572
2022-12-07,94107.10886982034
2022-12-08,95039.50400988542
2022-12-09,95223.55243640346
2022-12-12,93601.35244907992
2022-12-13,94936.74779953256
2022-12-14,94974.18300468422
2022-12-15,95585.68119953219
2022-12-16,95391.07499927256
2022-12-19,94773.98250323247
2022-12-20,93279.53774784629
2022-12-21,93386.43804098835
2022-12-22,93714.20767950571
2022-12-23,93418.87614370258
2022-12-26,90954.29136880765
2022-12-27,91947.66779637133
2022-12-28,92521.37767707919
2022-12-29,91977.96087382811
2022-12-30,91807.37585729371
2023-01-03,94045.90526340813
2023-01-04,94412.78802066916
2023-01-05,95231.30785308109
2023-01-06,95088.21883508052
2023-01-09,95303.78040584656
2023-01-10,95302.46949799165
2023-01-11,95527.5743227625
2023-01-12,95665.59646889828
2023-01-13,95975.71154823973
2023-01-16,96585.62498530731
2023-01-17,98309.11335575089
2023-01-18,98872.9955276438
2023-01-19,99456.47393559129
2023-01-27,100062.79024435519
2023-01-30,98984.10849329166
2023-01-31,99699.22982096543
2023-02-01,97207.21892823394
2023-02-02,97436.89806119014
2023-02-03,97038.82195190416
2023-02-06,97689.7235702403
2023-02-07,96217.03384136627
2023-02-08,96446.95186521787
2023-02-09,95853.61298839752
2023-02-10,95089.32118767756
2023-02-13,94619.01744501648
2023-02-14,94464.85825790324
2023-02-15,94992.62763012438
2023-02-16,95685.54496987068
2023-02-17,95650.65523772778
2023-02-20,97363.47476076672
2023-02-21,96953.53234069324
2023-02-22,95919.8247570462
2023-02-23,95893.96923776333
2023-02-24,95381.22324570314
2023-02-27,94852.48954083254
2023-02-28,95004.94442498045
2023-03-01,95670.3343590551
2023-03-02,95507.99346434703
2023-03-03,95128.28057187962
2023-03-06,95146.21422207527
2023-03-07,95490.85174646249
2023-03-08,95850.66759514615
2023-03-09,96149.23436116186
2023-03-10,95980.57476260711
2023-03-13,95970.95106484914
2023-03-14,95525.47558858922
2023-03-15,96256.1448134492
2023-03-16,95712.70587773323
2023-03-17,95836.9150229704
2023-03-20,95081.70219391288
2023-03-21,95276.22655082577
2023-03-22,95419.88124675491
2023-03-23,95546.92859768073
2023-03-24,95686.39939994206
2023-03-27,95773.87496656868
2023-03-28,95842.91374591937
2023-03-29,95774.7117611331
2023-03-30,96113.97136656524
2023-03-31,96292.46867999298
2023-04-03,96621.3991455583
2023-04-04,96649.39922623978
2023-04-05,96701.29645888963
2023-04-06,96547.10623226062
2023-04-07,96335.74501437414
2023-04-10,96234.45480110355
2023-04-11,96292.37386794925
2023-04-12,96255.54260127593
2023-04-13,96128.63966967158
2023-04-14,95831.24237611819
2023-04-17,95708.32527758786
2023-04-18,95685.68543655507
2023-04-19,95441.98549107896
2023-04-20,95478.58957784293
2023-04-21,95235.29740032896
2023-04-24,95172.14833510916
2023-04-25,94823.70933714448
2023-04-26,94954.18008472041
2023-04-27,94919.08498824645
2023-04-28,95129.09061531916
2023-05-04,94931.2242435657
2023-05-05,94865.4224623796
2023-05-08,95286.57149573402
2023-05-09,95330.57745300296
2023-05-10,95475.96783580519
2023-05-11,95448.37063692998
2023-05-12,95634.19087920497
2023-05-15,95739.45886214523
2023-05-16,95675.5663122341
2023-05-17,95491.45361131156
2023-05-18,95729.14705421258
2023-05-19,95697.07497470947
2023-05-22,95797.72207895706
2023-05-23,95603.10261245904
2023-05-24,95425.53495260378
2023-05-25,95453.14288638928
2023-05-26,95449.81853513721
2023-05-29,95833.79496615601
2023-05-30,95855.1672700754
2023-05-31,95756.83881884263
2023-06-01,95908.35852206411
2023-06-02,96543.7854108352
2023-06-05,96739.38159177553
2023-06-06,97037.45165061353
2023-06-07,97032.5694191898
2023-06-08,96620.53054024703
2023-06-09,96793.53197679158
2023-06-12,97070.61318845191
2023-06-13,97282.66531977316
2023-06-14,97171.5608665658
2023-06-15,97107.29137338468
2023-06-16,97072.71635179903
2023-06-19,96912.71266010123
2023-06-20,97136.90483175444
2023-06-21,97324.43813614952
2023-06-22,97654.28901113404
2023-06-23,98038.49020764316
2023-06-26,98177.86403014969
2023-06-27,98346.70965589824
2023-06-28,98701.83059475447
2023-06-29,97682.78144803752
2023-06-30,97427.46774461401
2023-07-03,97779.14269720991
2023-07-04,98236.88396584542
2023-07-05,98341.98976344315
2023-07-06,98042.1665034666
2023-07-07,98695.61281772616
2023-07-10,99636.53418896162
2023-07-11,100013.2931173586
2023-07-12,100073.50446606986
2023-07-13,100658.85067451787
2023-07-14,100645.13041105252
2023-07-17,100740.62175258744
2023-07-18,100983.06028349795
2023-07-19,100840.74785253052
2023-07-20,100899.3869337173
2023-07-21,101818.77872996285
2023-07-24,102125.23184259408
2023-07-25,102416.66214758345
2023-07-26,102615.1652143124
2023-07-27,102298.61497210823
2023-07-28,102909.01046554265
2023-07-31,103883.46080263023
2023-08-01,103391.2793542692
2023-08-02,103524.3522257597
2023-08-03,102927.14224102475
2023-08-04,103760.1741972396
2023-08-07,105061.18527885653
2023-08-08,105000.0935856295
2023-08-09,104445.40469194124
2023-08-10,103371.38899838399
2023-08-11,103806.54854078073
2023-08-14,103940.1592834004
2023-08-15,103879.5916055921
2023-08-16,104464.60243957266
2023-08-17,104110.64720807622
2023-08-18,99394.11122233345
2023-08-21,99924.40769734359
2023-08-22,99844.60551706374
2023-08-23,99050.91650482127
2023-08-24,100170.8607908814
2023-08-25,99696.83298849413
2023-08-28,100818.629173229
2023-08-29,101024.01690756717
2023-08-30,101808.97947982939
2023-08-31,102396.77704065385
2023-09-05,103057.99643589302
2023-09-06,103726.70500357189
2023-09-07,103631.43757424172
2023-09-08,103404.76151998593
2023-09-11,102352.55101390324
2023-09-12,103910.47956207347
2023-09-13,103628.76119363458
2023-09-14,103045.42493505469
2023-09-15,103305.6640454947
2023-09-18,102240.74691678747
2023-09-19,102284.91320023844
2023-09-20,102872.68029662479
2023-09-21,101918.6227221459
2023-09-22,100710.17483272807
2023-09-25,98186.45274748199
2023-09-26,97816.6476354928
2023-09-27,98530.03453476152
2023-09-28,98113.12783935094
2023-09-29,97993.1839739583
2023-10-02,97856.26768284969
2023-10-03,96655.16409675613
2023-10-04,96831.47747436858
2023-10-05,96349.9726908047
2023-10-06,96721.42949927661
2023-10-09,96957.71508984863
2023-10-10,97146.28030306565
2023-10-11,97590.97825310512
2023-10-12,97547.90990210863
2023-10-13,97675.48820576223
2023-10-16,97277.09936013588
2023-10-17,96886.74247280152
2023-10-18,96251.3908570999
2023-10-19,95783.1019053529
2023-10-20,96249.6134277207
2023-10-23,95738.89244040054
2023-10-24,96097.72263567641
2023-10-25,95932.24790084096
2023-10-26,94335.85739670505
2023-10-27,94414.10350836327
2023-10-30,93777.17953281543
2023-10-31,93438.19801803688
2023-11-01,93681.89179946296
2023-11-02,94614.2757115713
2023-11-03,94587.55172289858
2023-11-06,94995.59563112292
2023-11-07,94664.81031360856
2023-11-08,95736.48530054632
2023-11-09,95629.63870496783
2023-11-10,95264.41178605249
2023-11-13,95233.5798286234
2023-11-14,95575.41401842545
2023-11-15,95945.69963396258
2023-11-16,96006.98830031215
2023-11-17,95188.5040120953
2023-11-20,95184.38744617527
2023-11-21,95320.89704953984
2023-11-22,95376.146510779
2023-11-23,94583.85419083232
2023-11-24,94773.93385912883
2023-11-27,94485.81981107823
2023-11-28,94724.79420601082
2023-11-29,94904.00372249313
2023-11-30,94569.46972886626
2023-12-01,94834.40247978692
2023-12-04,95305.56408248113
2023-12-05,95195.97182783509
2023-12-06,95474.31041162186
2023-12-07,95394.18416408963
2023-12-08,95515.08716180084
2023-12-11,95551.14024626694
2023-12-12,95591.1456907195
2023-12-13,95136.48080744735
2023-12-14,95022.78733498392
2023-12-15,94779.03905012342
2023-12-18,94377.51304199948
2023-12-19,94578.29022792308
2023-12-20,94683.28368552201
2023-12-21,94690.08407482055
2023-12-22,94732.92192184438
2023-12-25,95098.92156295858
2023-12-26,95169.2657736823
2023-12-27,95190.24689776232
2023-12-28,95440.90335265835
2023-12-29,95586.92775271375
2024-01-02,95581.85468932465
2024-01-03,95968.32389587087
2024-01-04,96369.23876091943
2024-01-05,96555.37526511312
2024-01-08,96682.54030517639
2024-01-09,96579.56267095235
2024-01-10,96744.23840242962
2024-01-11,96853.80108390996
2024-01-12,96812.82540222496
2024-01-15,96728.74562151937
2024-01-16,96938.65899231946
2024-01-17,96854.4821843211
2024-01-18,97035.53714713281
2024-01-19,98010.4646129528
2024-01-22,98120.23873291964
2024-01-23,97747.94163006397
2024-01-24,97626.09409200698
2024-01-25,97523.255136955
2024-01-26,97665.72767411452
2024-01-29,97667.765711751
2024-01-30,97994.14639502415
2024-01-31,97468.49924491
2024-02-01,97744.82800797172
2024-02-02,97712.65605325217
2024-02-05,99017.30826906502
2024-02-06,99175.54008900425
2024-02-07,99955.64763072743
2024-02-15,100234.83382361707
2024-02-16,100787.00743093727
2024-02-19,101796.97395015026
2024-02-20,101990.59344393811
2024-02-21,102137.71231504015
2024-02-22,102002.56332739846
2024-02-23,100995.06764061723
2024-02-26,101705.27293001315
2024-02-27,102414.73619789876
2024-02-28,103520.47132602493
2024-02-29,103351.2174000216
2024-03-01,103536.23985950359
2024-03-04,103748.78176023645
2024-03-05,104356.774493978
2024-03-06,104028.36291481377
2024-03-07,104436.45891035174
2024-03-08,102656.47119281831
2024-03-11,101581.55994504834
2024-03-12,102264.9189221279
2024-03-13,103980.02243627864
2024-03-14,103308.31628428154
2024-03-15,103453.10592825786
2024-03-18,101547.61990421721
2024-03-19,101388.48626760744
2024-03-20,102735.81697821297
2024-03-21,104062.5373680196
2024-03-22,104510.8577932132
2024-03-25,103469.93469737883
2024-03-26,104447.54027078483
2024-03-27,104486.5787526452
2024-03-28,105009.88653074359
2024-03-29,104603.53251733612
2024-04-01,104323.90105193481
2024-04-02,104545.02941591479
2024-04-03,103365.65089715812
2024-04-04,102847.56590308464
2024-04-05,101952.03434552283
2024-04-08,101798.31885278836
2024-04-09,102602.59739995163
2024-04-10,102213.44985053477
2024-04-11,102190.62824666486
2024-04-12,103476.511025521
2024-04-15,99371.62885975181
2024-04-16,99432.36348840447
2024-04-17,98584.80330391585
2024-04-19,98075.5182917713
2024-04-22,98526.28900903666
2024-04-23,98114.78985434177
2024-04-24,98917.40578072364
2024-04-25,98877.90288481569
2024-04-26,99204.8486815534
2024-05-02,99632.55610448324
2024-05-03,99916.23540881957
2024-05-06,101200.84976926389
2024-05-07,101735.71597401751
2024-05-08,101873.98758725499
2024-05-09,101676.29951874928
2024-05-10,101365.3640089339
2024-05-13,101006.88926325618
2024-05-14,101206.40120241835
2024-05-15,101832.9627937071
2024-05-16,102783.2794577893
2024-05-17,103054.63347350627
2024-05-20,103457.73829628268
2024-05-21,103477.33895783593
2024-05-22,102715.39286017348
2024-05-23,103984.96026615374
2024-05-24,102652.37597590618
2024-05-27,103206.65260308838
2024-05-28,104130.14086760578
2024-05-29,103176.43667163386
2024-05-30,102823.71141972046
2024-05-31,102522.11219371199
2024-06-03,103928.49055697446
2024-06-04,104269.25661539313
2024-06-05,104539.93475024674
2024-06-06,104675.26810128603
2024-06-07,105054.95084648531
2024-06-10,105234.97087634854
2024-06-11,105096.27668510706
2024-06-12,106192.07349888112
2024-06-13,106270.14067161629
2024-06-14,104671.39421913265
2024-06-17,104192.88226286785
2024-06-18,104687.92596261704
2024-06-19,104739.21353117836
2024-06-20,105003.92125737226
2024-06-21,104823.16001041354
2024-06-24,102886.07315362272
2024-06-25,102869.64546424377
2024-06-26,103313.79432181873
2024-06-27,102987.83919771349
2024-06-28,102222.73841837142
2024-07-01,102533.59070039717
2024-07-02,103337.0677356047
2024-07-03,103899.78572846227
2024-07-04,104188.28493273174
2024-07-05,104360.70620427918
2024-07-08,104700.01485346556
2024-07-09,105467.10780946526
2024-07-10,104750.35587786378
2024-07-11,104575.2258922813
2024-07-12,104455.28007025561
2024-07-15,104620.72305836083
2024-07-16,104873.63089642138
2024-07-17,104243.9668231101
2024-07-18,104812.22684743507
2024-07-19,104128.2230783251
2024-07-22,103915.2186887359
2024-07-23,102152.31108985146
2024-07-24,102303.51874629085
2024-07-25,101931.88449796775
2024-07-26,102774.41086939782
2024-07-29,103037.65175167673
2024-07-30,102933.58850825
2024-07-31,103573.86375713677
2024-08-01,101580.09077016068
2024-08-02,102541.52009807875
2024-08-05,99271.3664039934
2024-08-06,100845.2008862276
2024-08-07,101028.28559154992
2024-08-08,100603.04683850931
2024-08-09,101744.61944087909
2024-08-12,102144.27378134438
2024-08-13,101982.59614742562
2024-08-14,102195.86962036089
2024-08-15,101731.77612193079
2024-08-16,103618.4371404141
2024-08-19,104111.12741194594
2024-08-20,104462.06872284123
2024-08-21,105154.71796187999
2024-08-22,105168.95869737268
2024-08-23,105439.4199373318
2024-08-26,105056.4460607176
2024-08-27,105064.61487362134
2024-08-28,105219.21218489556
2024-08-29,105338.73760959129
2024-08-30,105526.58073058302
2024-09-04,104621.2508398549
2024-09-05,103986.26116026158
2024-09-06,104407.1505477316
2024-09-09,103900.8712775208
2024-09-10,103113.6649615115
2024-09-11,102997.04495104316
2024-09-12,103208.56676892725
2024-09-13,103011.85661467823
2024-09-16,102174.98974698587
2024-09-17,103249.04816144913
2024-09-18,103675.79304560875
2024-09-19,104071.16908036133
2024-09-20,104365.62179954203
2024-09-23,104171.89785596823
2024-09-24,104854.30913521665
2024-09-25,105597.37845626603
2024-09-26,106134.35041974965
2024-09-27,106219.2283793302
2024-09-30,106027.72348561513
2024-10-01,106289.83487541655
2024-10-02,106026.53794899471
2024-10-03,105484.83402246378
2024-10-04,104904.6067970773
2024-10-07,104805.78808134852
2024-10-08,104852.74658314725
2024-10-09,105407.80566978829
2024-10-10,105854.9711094523
2024-10-11,105841.22447803072
2024-10-14,105719.65179548788
2024-10-15,105310.54607169914
2024-10-16,105114.85511627163
2024-10-17,105518.62658601378
2024-10-18,105574.07644762412
2024-10-21,104981.11313435265
2024-10-22,104162.67177590162
2024-10-23,104263.91757668387
2024-10-24,103204.26571331853
2024-10-25,102834.26493685089
2024-10-28,102900.62670253246
2024-10-29,103277.78072094696
2024-10-30,103139.63035683872
2024-10-31,103371.33530298674
2024-11-01,102679.18943407873
2024-11-04,101970.23838964054
2024-11-05,101962.94366785312
2024-11-06,102893.42291509086
2024-11-07,102627.02998345463
2024-11-08,102164.08175127687
2024-11-11,101590.21048614981
2024-11-12,101268.60945972924
2024-11-13,101207.8057525656
2024-11-14,100243.54248761092
2024-11-15,99825.99805049514
2024-11-18,99765.71472106635
2024-11-19,99389.83697883415
2024-11-20,99648.45759764817
2024-11-21,99982.70889979975
2024-11-22,99963.17366727382
2024-11-25,100123.42284409846
2024-11-26,100581.45045794109
2024-11-27,100665.24634518566
2024-11-28,100740.33042982352
2024-11-29,101400.72185742237
2024-12-02,101359.8190221077
2024-12-03,101543.80934957154
2024-12-04,100970.30315280354
2024-12-05,102948.40742271823
2024-12-06,102959.24734421443
2024-12-09,102929.53106418873
2024-12-10,103067.30188827627
2024-12-11,102893.91037184508
2024-12-12,102911.71473202303
2024-12-13,102660.7867861455
2024-12-16,102672.28657427698
2024-12-17,102455.86287320752
2024-12-18,102658.18481898447
2024-12-19,101843.72484819713
2024-12-20,101869.08999406798
2024-12-23,102150.274697337
2024-12-24,102092.98852063624
2024-12-25,103246.87759201867
2024-12-26,103385.77333435975
2024-12-27,103682.71146692293
2024-12-30,103783.41812604856
2024-12-31,103349.97726942725
2025-01-02,103355.26895570925
2025-01-03,102104.7157944337
2025-01-06,101687.86319559733
2025-01-07,101976.35737581659
2025-01-08,101990.83196844177
2025-01-09,101547.89680858314
2025-01-10,101058.77919570914
2025-01-13,101190.90893500125
2025-01-14,100995.3993000113
2025-01-15,101176.63269119328
2025-01-16,101279.07235159386
2025-01-17,101817.74120068319
2025-01-20,102108.51223317842
2025-01-21,101996.8952143137
2025-01-22,101773.55609745531
2025-01-23,102861.1788009137
2025-01-24,103203.47946931224
2025-02-03,102706.24424855821
2025-02-04,103523.50534952621
2025-02-05,103658.05218925037
2025-02-06,103769.88334350192
2025-02-07,104107.17059533989
2025-02-10,103913.41661357491
2025-02-11,104176.78366859574
2025-02-12,104053.93923481136
2025-02-13,104262.82944532754
2025-02-14,104553.25881521137
2025-02-17,104409.34551411535
2025-02-18,104954.61011869194
2025-02-19,105489.45696486054
2025-02-20,105773.39545780855
2025-02-21,106209.03348649805
2025-02-24,106773.59230771803
2025-02-25,106564.15488476185
2025-02-26,106432.80402693433
2025-02-27,106494.38488769418
2025-02-28,106318.55986281898
2025-03-03,106580.23534299976
2025-03-04,106970.17295974227
2025-03-05,106528.96061528256
2025-03-06,107456.943697418
2025-03-07,107855.99179248644
2025-03-10,108255.85738419155
2025-03-11,108307.55708196534
2025-03-12,108137.76133576831
2025-03-13,107609.02223135604
2025-03-14,107686.27367322045
2025-03-17,108233.39650741148
2025-03-18,108041.33993160503
2025-03-19,107465.06455704714
2025-03-20,107341.98053987323
2025-03-21,107115.78519102577
2025-03-24,107579.98755843822
2025-03-25,107708.43404948707
2025-03-26,107290.46008427447
2025-03-27,107194.22524288611
2025-03-28,106747.39898213395
2025-03-31,105872.06649923373
2025-04-01,106530.76049244155
2025-04-02,106390.658242877
2025-04-03,103783.47471531875
2025-04-04,103584.2008574415
2025-04-08,101408.6841929188
2025-04-09,100569.07769327135
2025-04-10,102487.51069988498
2025-04-11,104093.84973698847
2025-04-14,104461.69221762767
2025-04-15,103912.02214469224
2025-04-16,103477.55082863115
2025-04-17,103651.4460860531
2025-04-18,103781.0846524887
2025-04-21,103634.36691065325
2025-04-22,103044.28128405989
2025-04-23,103422.11172940432
2025-04-24,103716.08412265636
2025-04-25,103818.82602962689
2025-04-28,103744.87424224126
2025-04-29,103661.9705639968
2025-05-05,103971.65080829278
2025-05-06,103973.29262267219
2025-05-07,104121.30281432443
2025-05-08,104763.42060749582
2025-05-09,104714.34575374925
2025-05-12,105377.72336678946
2025-05-13,105648.00407777623
2025-05-14,106568.18847907998
2025-05-15,106967.16246766194
2025-05-16,106444.48823212252
2025-05-19,106279.74207715562
2025-05-20,106800.97887501818
2025-05-21,107270.24668075873
2025-05-22,107009.02353130453
2025-05-23,107036.47733093328
2025-05-26,107779.90120782163
2025-05-27,108122.32103152161
2025-05-28,108207.91762694521
2025-05-29,108022.2492020571
2025-05-30,107253.27368457809
2025-06-02,107511.57320592966
2025-06-03,108255.30254292088
2025-06-04,108024.76261163503
2025-06-05,107718.13163747198
2025-06-06,107050.01945228003
2025-06-09,106579.36666598277
2025-06-10,106795.70992585945
2025-06-11,106761.35094809196
2025-06-12,107465.19954791451
2025-06-13,107082.01296894053
2025-06-16,108450.36977017541
