date,equity,cash,positions,regime,gross_exposure
2022-05-09,97292.63272050001,42354.63272050001,8,NEUTRAL,0.5646676265593983
2022-05-10,98582.63272050001,42354.63272050001,8,NEUTRAL,0.570364154905629
2022-05-11,99656.26187700003,32451.261877000023,8,NEUTRAL,0.6743680601119402
2022-05-12,95240.60994400003,29849.609944000025,8,NEUTRAL,0.6865873710641802
2022-05-13,91710.75805150004,36592.75805150004,8,NEUTRAL,0.6009981944435414
2022-05-16,91025.72915050003,34114.72915050004,8,NEUTRAL,0.625218831325202
2022-05-17,94468.71427900004,34009.71427900004,8,NEUTRAL,0.6399896564850334
2022-05-18,95253.71427900004,34009.71427900004,8,NEUTRAL,0.6429565551702803
2022-05-19,94812.71427900004,34009.71427900004,8,NEUTRAL,0.6412958479500801
2022-05-20,95062.71427900004,34009.71427900004,8,NEUTRAL,0.642239183501696
2022-05-23,93664.71427900004,34009.71427900004,8,NEUTRAL,0.6368993965251957
2022-05-24,94926.71427900004,34009.71427900004,8,NEUTRAL,0.6417266252464848
2022-05-25,97146.71427900004,34009.71427900004,8,NEUTRAL,0.6499139005223995
2022-05-26,97270.71427900004,34009.71427900004,8,NEUTRAL,0.6503601877390299
2022-05-27,98303.29741850005,29728.29741850005,8,NEUTRAL,0.6975859589740947
2022-05-30,98445.29741850005,29728.29741850005,8,NEUTRAL,0.6980221686758453
2022-05-31,98408.57713400005,29698.57713400005,8,NEUTRAL,0.6982114974230308
2022-06-01,98571.57713400005,29698.57713400005,8,NEUTRAL,0.6987105411367494
2022-06-02,98206.57713400005,29698.57713400005,8,NEUTRAL,0.6975907520585185
2022-06-03,98229.57713400005,29698.57713400005,8,NEUTRAL,0.6976615597816666
2022-06-06,97836.91334250005,29664.91334250005,8,NEUTRAL,0.6967922195311766
2022-06-07,98043.64447850006,33558.64447850006,8,NEUTRAL,0.6577172884892185
2022-06-08,98533.64447850006,33558.64447850006,8,NEUTRAL,0.6594194332695923
2022-06-09,98500.64447850006,33558.64447850006,8,NEUTRAL,0.6593053308821245
2022-06-10,96426.64447850006,33558.64447850006,8,NEUTRAL,0.6519774730315071
2022-06-13,93946.52091900008,36617.520919000075,8,NEUTRAL,0.6102301547646304
2022-06-14,94920.52091900008,36617.520919000075,8,NEUTRAL,0.6142296674683503
2022-06-15,94673.58066800008,34743.58066800008,8,NEUTRAL,0.6330171477316533
2022-06-16,97145.58066800008,34743.58066800008,8,NEUTRAL,0.6423555201472518
2022-06-17,97416.58066800008,34743.58066800008,8,NEUTRAL,0.6433504396299055
2022-06-20,95374.58066800008,34743.58066800008,8,NEUTRAL,0.6357144595063243
2022-06-21,94345.58066800008,34743.58066800008,8,NEUTRAL,0.6317413023270063
2022-06-22,93723.59340600009,31049.59340600008,8,NEUTRAL,0.668711022725124
2022-06-23,94400.59340600009,31049.59340600008,8,NEUTRAL,0.6710868831887388
2022-06-24,94560.59340600009,31049.59340600008,8,NEUTRAL,0.6716434162729152
2022-06-27,95268.59340600009,31049.59340600008,8,NEUTRAL,0.6740836376823786
2022-06-28,96041.59340600009,31049.59340600008,8,NEUTRAL,0.6767068068649901
2022-06-29,95789.59340600009,31049.59340600008,8,NEUTRAL,0.6758562981429755
2022-06-30,94810.59340600009,31049.59340600008,8,NEUTRAL,0.6725092387826452
2022-07-01,94709.59340600009,31049.59340600008,8,NEUTRAL,0.6721599967925422
2022-07-04,94551.26572600009,28879.26572600008,8,NEUTRAL,0.6945650012799485
2022-07-05,94009.19046800007,28823.19046800008,8,NEUTRAL,0.693400290710819
2022-07-06,93689.19046800007,28823.19046800008,8,NEUTRAL,0.6923530844484695
2022-07-07,94490.19046800007,28823.19046800008,8,NEUTRAL,0.6949610290206654
2022-07-08,94331.19046800007,28823.19046800008,8,NEUTRAL,0.6944468703829435
2022-07-11,93546.19046800007,28823.19046800008,8,NEUTRAL,0.6918827979653559
2022-07-12,94079.19046800007,28823.19046800008,8,NEUTRAL,0.6936284174574829
2022-07-13,94160.50092950008,28803.50092950008,8,NEUTRAL,0.6941020847896099
2022-07-14,94521.50092950008,28803.50092950008,8,NEUTRAL,0.6952703813814437
2022-07-15,93902.50092950008,28803.50092950008,8,NEUTRAL,0.693261620889894
2022-07-18,93996.50092950008,28803.50092950008,8,NEUTRAL,0.6935683706875059
2022-07-19,94201.50092950008,28803.50092950008,8,NEUTRAL,0.6942352229498289
2022-07-20,94988.50092950008,28803.50092950008,8,NEUTRAL,0.6967685493754884
2022-07-21,95397.50092950008,28803.50092950008,8,NEUTRAL,0.6980686008663244
2022-07-22,95538.50092950008,28803.50092950008,8,NEUTRAL,0.6985142047523354
2022-07-25,95046.50092950008,28803.50092950008,8,NEUTRAL,0.6969535895817477
2022-07-26,95000.50092950008,28803.50092950008,8,NEUTRAL,0.6968068520935993
2022-07-27,95384.50092950008,28803.50092950008,8,NEUTRAL,0.6980274504891616
2022-07-28,96639.50092950008,28803.50092950008,8,NEUTRAL,0.7019489892594474
2022-07-29,96986.50092950008,28803.50092950008,8,NEUTRAL,0.7030153613806784
2022-08-01,97800.50092950008,28803.50092950008,8,NEUTRAL,0.7054871840558035
2022-08-02,97608.50092950008,28803.50092950008,8,NEUTRAL,0.7049078650403201
2022-08-03,97759.93335950008,36214.93335950008,7,NEUTRAL,0.6295523931432714
2022-08-04,97914.93335950008,36214.93335950008,7,NEUTRAL,0.6301388142038054
2022-08-05,97896.58224350007,29973.58224350008,8,NEUTRAL,0.6938240175847386
2022-08-08,97732.58224350007,29973.58224350008,8,NEUTRAL,0.693310239477546
2022-08-09,97822.58224350007,29973.58224350008,8,NEUTRAL,0.6935924041660462
2022-08-10,97327.58224350007,29973.58224350008,8,NEUTRAL,0.6920340405815246
2022-08-11,97318.58224350007,29973.58224350008,8,NEUTRAL,0.6920055599607544
2022-08-12,97724.58224350007,29973.58224350008,8,NEUTRAL,0.6932851330199091
2022-08-15,98050.80414200008,32372.80414200008,8,NEUTRAL,0.6698364238286427
2022-08-16,97808.80414200008,32372.80414200008,8,NEUTRAL,0.6690195281909302
2022-08-17,97630.80414200008,32372.80414200008,8,NEUTRAL,0.6684160862291461
2022-08-18,97854.80414200008,32372.80414200008,8,NEUTRAL,0.6691751168902967
2022-08-19,97610.80414200008,32372.80414200008,8,NEUTRAL,0.6683481462266667
2022-08-22,97708.80414200008,32372.80414200008,8,NEUTRAL,0.6686807864831431
2022-08-23,98122.80414200008,32372.80414200008,8,NEUTRAL,0.6700786894028097
