symbol,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,strategy_ids,family_votes
BVH,2022-05-09,2022-05-11,55.86792,52.11393,100,5586.7919999999995,5200.970214,-385.8217859999995,-0.06905962956916949,STOP_LOSS,2,"qa_053,qa_005",structure
GVR,2022-05-09,2022-05-11,24.602294999999998,23.118435,300,7380.688499999999,6921.659439000001,-459.02906099999836,-0.06219325758023773,STOP_LOSS,2,"qa_053,qa_005",structure
BID,2022-05-09,2022-05-12,26.553269999999998,25.657165000000003,300,7965.981,7681.755201000001,-284.2257989999989,-0.035679949399828964,STOP_LOSS,3,"qa_053,qa_005",structure
ACB,2022-05-09,2022-05-13,14.547269999999997,14.01299,600,8728.362,8390.978412,-337.3835879999988,-0.03865371165861348,STOP_LOSS,4,"qa_053,qa_005",structure
CTG,2022-05-09,2022-05-13,16.398195,15.33233,500,8199.0975,7650.83267,-548.2648300000001,-0.06686892429319204,STOP_LOSS,4,"qa_053,qa_005",structure
GAS,2022-05-09,2022-05-13,73.13654999999999,69.915025,100,7313.654999999999,6977.519495,-336.1355049999993,-0.04595998922563333,STOP_LOSS,4,"qa_053,qa_005",structure
BVH,2022-05-11,2022-05-13,52.16607,47.63617,200,10433.214,9508.179532,-925.0344679999998,-0.08866246470167292,STOP_LOSS,2,"qa_053,qa_005",structure
GVR,2022-05-11,2022-05-13,23.141564999999996,21.3893,500,11570.782499999998,10673.260699999999,-897.5217999999986,-0.07756794322250883,STOP_LOSS,2,"qa_053,qa_005",structure
BCM,2022-05-09,2022-05-16,74.22709499999999,69.70513,100,7422.709499999999,6956.5719739999995,-466.1375259999995,-0.06279883727094528,STOP_LOSS,5,"qa_053,qa_005",structure
BID,2022-05-12,2022-05-16,25.682835,24.06796,400,10273.134,9607.929632,-665.2043680000006,-0.0647518437898309,STOP_LOSS,2,"qa_053,qa_005",structure
