symbol,fold,test_start,test_end,market_regime,selected_strategy_ids,ensemble_total_return,ensemble_sharpe_ratio,ensemble_max_drawdown,ensemble_win_rate,ensemble_number_of_trades
ACB,1,2024-05-15,2024-11-08,RISK_ON,"qa_016,qa_068,qa_017,qa_024,qa_022",-0.02332520736795951,-0.28052478614560455,-0.07843569890553115,0.3888888888888889,36
ACB,2,2024-08-12,2025-02-13,RISK_ON,"qa_016,qa_017,qa_025,qa_068,qa_078",-0.014872811188616941,-0.25028082354462844,-0.10102254712781078,0.35135135135135137,37
ACB,3,2024-11-11,2025-05-19,RISK_ON,"qa_047,qa_068,qa_078,qa_039,qa_055",0.015955011947684117,0.3173764222796086,-0.09481518953788515,0.36363636363636365,33
ACB,4,2025-02-14,2025-08-14,RISK_ON,"qa_070,qa_068,qa_013,qa_053,qa_005",0.23015421666936398,2.303148983903127,-0.08941091092807496,0.52,25
ACB,5,2025-05-20,2025-11-13,RISK_ON,"qa_013,qa_055,qa_077,qa_022,qa_047",0.08389151380691184,0.805223754045661,-0.1557857978928353,0.34375,32
ACB,6,2025-08-15,2026-02-12,RISK_ON,"qa_013,qa_077,qa_022,qa_055,qa_043",-0.11341444770768505,-0.8525071090230261,-0.2160973753335721,0.2682926829268293,41
BCM,1,2024-05-15,2024-11-08,RISK_ON,"qa_074,qa_018,qa_051,qa_035,qa_026",-0.10203133140026965,-2.2919077425700087,-0.10520338486639347,0.4,50
BCM,2,2024-08-12,2025-02-13,RISK_ON,"qa_043,qa_014,qa_011,qa_067,qa_020",0.015235830585947685,0.36450311906190513,-0.03998565579186342,0.5,30
BCM,3,2024-11-11,2025-05-19,RISK_ON,"qa_046,qa_017,qa_043,qa_011,qa_073",0.039327501171630086,0.5057868546103735,-0.11939515609183382,0.4117647058823529,34
BCM,4,2025-02-14,2025-08-14,RISK_ON,"qa_046,qa_017,qa_044,qa_043,qa_071",-0.002826753397862092,0.017195887010458977,-0.11732514352649781,0.25,32
BCM,5,2025-05-20,2025-11-13,RISK_ON,"qa_020,qa_046,qa_011,qa_010,qa_017",-0.009648369095532017,-0.058075937726624685,-0.11301107644322061,0.28125,32
BCM,6,2025-08-15,2026-02-12,RISK_ON,"qa_011,qa_046,qa_010,qa_017,qa_068",-0.16287054432078085,-1.353238355240785,-0.20047591220099514,0.1590909090909091,44
BID,1,2024-05-15,2024-11-08,RISK_ON,"qa_071,qa_044,qa_022,qa_010,qa_070",-0.07028986365253698,-1.8285150685198026,-0.0739474696944954,0.3333333333333333,30
BID,2,2024-08-12,2025-02-13,RISK_ON,"qa_071,qa_044,qa_063,qa_015,qa_054",-0.03866811411742532,-4.1165316240333745,-0.03866811411742532,0.0,13
BID,3,2024-11-11,2025-05-19,RISK_ON,"qa_005,qa_063,qa_044,qa_070,qa_071",0.011370304911272555,0.2706134928869498,-0.0713699423570977,0.43333333333333335,30
BID,4,2025-02-14,2025-08-14,RISK_ON,"qa_063,qa_044,qa_071,qa_022,qa_005",0.046436571741862,0.8519253543099593,-0.06469139566662951,0.5416666666666666,24
BID,5,2025-05-20,2025-11-13,RISK_ON,"qa_063,qa_044,qa_060,qa_071,qa_015",0.01200628636297485,1.1872390196406588,-0.005487034583002703,1.0,5
BID,6,2025-08-15,2026-02-12,RISK_ON,"qa_063,qa_044,qa_060,qa_071,qa_015",0.03288916636131667,1.6457554257388072,-0.005487034583002703,1.0,8
BVH,1,2024-05-15,2024-11-08,RISK_ON,"qa_007,qa_070,qa_015,qa_044,qa_071",-0.005623471391435264,-0.19445770883425834,-0.03133425303954651,0.5,6
BVH,2,2024-08-12,2025-02-13,RISK_ON,"qa_007,qa_015,qa_071,qa_044,qa_063",-0.011348766623196171,-1.1073913730157903,-0.015141273265239286,0.0,5
BVH,3,2024-11-11,2025-05-19,RISK_ON,"qa_022,qa_071,qa_044,qa_007,qa_015",0.04893499167024529,0.966071793337888,-0.08288363989358238,0.43478260869565216,23
BVH,4,2025-02-14,2025-08-14,RISK_ON,"qa_033,qa_022,qa_005,qa_078,qa_037",0.08603296931509385,0.8606170447418142,-0.16157051888243157,0.375,32
BVH,5,2025-05-20,2025-11-13,RISK_ON,"qa_048,qa_010,qa_073,qa_011,qa_022",0.028131993946315825,0.3357230632775198,-0.18054235511645778,0.36585365853658536,41
BVH,6,2025-08-15,2026-02-12,RISK_ON,"qa_008,qa_025,qa_048,qa_011,qa_010",-0.07970647607161463,-0.24509781730566552,-0.1980955276078742,0.35294117647058826,68
CTG,1,2024-05-15,2024-11-08,RISK_ON,"qa_020,qa_011,qa_015,qa_018,qa_014",-0.026800979310679596,-1.009896573423682,-0.041553701315345526,0.25,28
CTG,2,2024-08-12,2025-02-13,RISK_ON,"qa_060,qa_044,qa_071,qa_020,qa_076",-0.001489773933679106,-0.14909677170196214,-0.015207534152892555,0.3125,16
CTG,3,2024-11-11,2025-05-19,RISK_ON,"qa_044,qa_015,qa_063,qa_071,qa_055",0.054135621013026824,1.2186340276575724,-0.048832447376429,0.6666666666666666,12
CTG,4,2025-02-14,2025-08-14,RISK_ON,"qa_015,qa_063,qa_060,qa_044,qa_071",0.011645859102010991,0.3504742833419222,-0.04852195441216056,0.6666666666666666,6
CTG,5,2025-05-20,2025-11-13,RISK_ON,"qa_071,qa_076,qa_049,qa_055,qa_005",0.11816039842402781,1.3049282715710728,-0.10397659416522154,0.5,24
CTG,6,2025-08-15,2026-02-12,RISK_ON,"qa_076,qa_071,qa_074,qa_005,qa_049",0.05043794836235693,0.7360299025890006,-0.0718468971143904,0.4482758620689655,29
FPT,1,2024-05-15,2024-11-08,RISK_ON,"qa_061,qa_033,qa_024,qa_017,qa_062",-0.01051946394454717,0.00613523360876292,-0.17245163867565572,0.4146341463414634,41
FPT,2,2024-08-12,2025-02-13,RISK_ON,"qa_011,qa_067,qa_058,qa_001,qa_061",0.048929986221669663,0.705293416267737,-0.08045387398673465,0.3958333333333333,48
FPT,3,2024-11-11,2025-05-19,RISK_ON,"qa_067,qa_011,qa_005,qa_058,qa_013",0.04169784863479542,0.5343563339062626,-0.12251562909829616,0.3148148148148148,54
FPT,4,2025-02-14,2025-08-14,RISK_ON,"qa_070,qa_013,qa_011,qa_005,qa_055",-0.13682977542596064,-1.247071847291621,-0.18792260867920185,0.19444444444444445,36
FPT,5,2025-05-20,2025-11-13,RISK_ON,"qa_067,qa_059,qa_011,qa_073,qa_028",-0.1094418803267102,-1.0331036222275167,-0.17516770109590052,0.29411764705882354,68
FPT,6,2025-08-15,2026-02-12,RISK_ON,"qa_067,qa_059,qa_030,qa_073,qa_033",-0.07657845520527784,-1.1181121074527043,-0.11462326063385875,0.2391304347826087,46
GAS,1,2024-05-15,2024-11-08,RISK_ON,"qa_074,qa_054,qa_071,qa_023,qa_078",-0.029575823746788465,-1.2914612850588338,-0.04491687103922881,0.21052631578947367,19
GAS,2,2024-08-12,2025-02-13,RISK_ON,"qa_074,qa_079,qa_047,qa_023,qa_070",-0.061842245182428646,-2.9986446942108302,-0.07917019338604858,0.34782608695652173,23
GAS,3,2024-11-11,2025-05-19,RISK_ON,"qa_074,qa_023,qa_063,qa_044,qa_071",0.010347581342113221,0.41669635144814804,-0.03131245318005571,0.5416666666666666,24
GAS,4,2025-02-14,2025-08-14,RISK_ON,"qa_074,qa_054,qa_014,qa_003",-0.04400491979224086,-0.7798938433047987,-0.0731944849838373,0.25,24
GAS,5,2025-05-20,2025-11-13,RISK_ON,"qa_074,qa_063,qa_022,qa_015,qa_007",-0.0016921050510149138,-0.0019230878626509383,-0.06947748604930326,0.4375,16
GAS,6,2025-08-15,2026-02-12,RISK_ON,"qa_074,qa_063,qa_075,qa_035,qa_051",0.274792144047173,2.827458436507302,-0.04589288246380119,0.5405405405405406,37
GVR,1,2024-05-15,2024-11-08,RISK_ON,"qa_054,qa_009,qa_003,qa_027,qa_068",-0.1500704563180918,-2.138810988469185,-0.1976343342313236,0.36538461538461536,52
