symbol,best_strategy_id,best_total_return,best_sharpe_ratio,best_max_drawdown,best_win_rate,best_number_of_trades,ensemble_total_return,ensemble_sharpe_ratio,ensemble_max_drawdown,ensemble_win_rate,ensemble_number_of_trades
ACB,qa_078,0.660526310480493,0.4939097833782986,-0.5435402168741831,0.3968253968253968,63,0.34658121591089497,0.4404002275246727,-0.37780926300604933,0.48717948717948717,234
BCM,qa_078,-0.18115439974479564,0.07190119562118413,-0.491517234863209,0.34782608695652173,69,-0.16169394489620015,-0.09322750623680058,-0.3756364645103686,0.38943894389438943,303
BID,qa_078,0.2835931831405003,0.3096314816432359,-0.44936344205024326,0.3076923076923077,78,0.5396579528268264,0.5919845511140815,-0.21012821073286825,0.4982698961937716,289
BVH,qa_078,0.11040433812732231,0.2220191137810882,-0.39048282967714965,0.32786885245901637,61,0.09035481272411783,0.18246452286666354,-0.23971469113814792,0.4664310954063604,283
CTG,qa_078,0.4288043130920216,0.3724065468182299,-0.5284308999904299,0.36231884057971014,69,0.45783842793700513,0.5277918287875414,-0.2760105730997875,0.5072463768115942,276
FPT,qa_078,1.0180840047453552,0.6076576621318557,-0.4774790853359534,0.375,64,1.052866267653123,0.8305285696318757,-0.25629415884800966,0.5692307692307692,260
GAS,qa_078,0.11512742105183604,0.22857319114765576,-0.4971115473561917,0.31746031746031744,63,0.14082393784927283,0.23148554442055752,-0.3074652962868737,0.39622641509433965,265
GVR,qa_078,-0.1528737385030241,0.1728387756822991,-0.8183895029974321,0.30927835051546393,97,-0.010697158502208759,0.08051589542542645,-0.4648574391466679,0.4,395
HDB,qa_078,1.7014573218910356,0.7455050851654195,-0.6174903375789254,0.3582089552238806,67,0.7858983558229105,0.7245696651955141,-0.34853896946548835,0.5,252
HPG,qa_078,-0.416414397764966,-0.11521526015260475,-0.861468646854321,0.2857142857142857,91,-0.19442946303618447,-0.15560284610838312,-0.5876238054620079,0.4547945205479452,365
MBB,qa_078,0.00013940465049810946,0.16140832729049212,-0.7019622820396989,0.3380281690140845,71,0.48501216722296747,0.5470342120085777,-0.3723678391720858,0.45098039215686275,255
MSN,qa_078,0.01904941776133806,0.1920512301670449,-0.6357991299274297,0.391304347826087,69,-0.1609865101015785,-0.06053966836721229,-0.5615903373384403,0.4217252396166134,313
MWG,qa_078,0.35683327834704315,0.3429497029370225,-0.7063111071356694,0.35714285714285715,70,0.022160429241874446,0.1129532997868436,-0.43786847141069307,0.4440677966101695,295
PLX,qa_078,-0.3447915924039342,-0.043826494727413734,-0.6328446596593933,0.36764705882352944,68,-0.1412843827479634,-0.10601353978347701,-0.3424594760298111,0.42902208201892744,317
POW,qa_078,0.0805078399871122,0.2202298667466995,-0.6333284361408358,0.36619718309859156,71,0.024941935457010178,0.11455534870266519,-0.34697136064526923,0.4205607476635514,321
SAB,qa_078,-0.41067441002418825,-0.2768900905875884,-0.5440435172155906,0.27586206896551724,58,-0.2394943989340278,-0.40773099032328936,-0.3222376932522919,0.3925619834710744,242
SHB,qa_078,-0.02480926137257833,0.19335219849659466,-0.8672442318433131,0.3076923076923077,91,0.27809221163473663,0.33841477163850064,-0.48640830047325045,0.4327485380116959,342
SSB,qa_078,-0.23015919437158305,-0.06471147995172732,-0.567234051505069,0.3125,48,-0.028906238718622634,0.027998234243536424,-0.31750812825257957,0.39204545454545453,176
SSI,qa_078,-0.05730838123576365,0.1849857253201481,-0.7925487488994484,0.29347826086956524,92,-0.026304589252301502,0.08291633896744627,-0.5487737830164785,0.42710997442455245,391
STB,qa_078,0.9752625399043984,0.5231623984047883,-0.6362342121166162,0.42424242424242425,66,0.6903583234728972,0.5900722844150389,-0.382169090647993,0.5231788079470199,302
TCB,qa_078,0.13958591880515736,0.24533183533943792,-0.75523967222131,0.30666666666666664,75,0.0013397730793711649,0.0857962799790167,-0.48842018434514134,0.40728476821192056,302
TPB,qa_078,0.13027531574839246,0.2369738189199964,-0.6378867479118746,0.3076923076923077,65,0.08522516233816546,0.17642485671823066,-0.44350393927010134,0.38996138996138996,259
VCB,qa_078,0.5090013522454464,0.44161699197088117,-0.3388926598644897,0.3333333333333333,51,0.20804452919867855,0.3355511150154255,-0.18159792256353757,0.4784688995215311,209
VHM,qa_078,-0.11428712879497671,0.13091545447295488,-0.7768553984892324,0.3142857142857143,105,-0.17372948301449087,-0.16006998368640254,-0.5131297907451227,0.358695652173913,368
VIB,qa_078,0.154113537918928,0.2488214124151407,-0.705557095631206,0.32857142857142857,70,-0.07448986753529052,0.01631430433200542,-0.5629485930924926,0.41818181818181815,330
VIC,qa_078,1.3605587932787189,0.6114493662121925,-0.8319152201121048,0.31,100,0.3397651750943731,0.4084515308945436,-0.5345225808524146,0.36033519553072624,358
VJC,qa_078,-0.1476108121773596,0.042333015403419105,-0.49689130772429735,0.3333333333333333,75,0.014147650036565151,0.08357260536955192,-0.24593428819070928,0.42035398230088494,226
VNM,qa_078,-0.37195250363831767,-0.3028034114830191,-0.4167263804257636,0.29850746268656714,67,-0.03562328900815437,-0.021875867875821808,-0.12907969056891166,0.475,280
VPB,qa_078,-0.21578810896171363,0.015077871688996247,-0.6402443095196422,0.32051282051282054,78,0.31723156531853536,0.4012530674888461,-0.28006593235009003,0.4570446735395189,291
VRE,qa_078,-0.5161981703121789,-0.16603891583745833,-0.8041248616856066,0.2916666666666667,96,0.06551211184559613,0.15533079388057722,-0.21485032207952282,0.43351063829787234,376
