symbol,strategy_id,family,folds,total_return,sharpe_ratio,max_drawdown,win_rate,number_of_trades,test_score,score_std,instability_penalty,final_score,conditions,logic,risk
ACB,qa_043,volume,1,0.1891647363085318,1.6105333569471707,-0.12881636800936014,0.5714285714285714,7,0.8362528257642728,0.0,0.1328771974148148,0.7033756283494581,volume_spike >= True | obv > obv_ema20,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
ACB,qa_119,mean_reversion,2,0.12044852477019019,1.0513966450353787,-0.16343463597261132,0.45,11,0.5291459527542242,0.007121130177000887,0.11376575671726306,0.41359991349271086,volume_ratio_20 > 1.0 | close > kc_lower | bb_percent < 0.2,OR,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
ACB,qa_111,mean_reversion,2,0.07408010101659734,0.8535217734323669,-0.07457948214250737,0.5833333333333333,8,0.43406902059266117,0.4297393627554263,0.11771447994154725,0.20891969996225734,adx_14 < 25 | rsi_14 < 35 | close <= bb_lower,OR,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
ACB,qa_053,structure,5,0.08394667838840411,0.8363320777135238,-0.10739982634672622,0.7,15,0.4218700771039378,0.6267756053237457,0.06671758694169912,0.1984585888313023,close > supertrend_10_3 | breakdown_20_low <= False,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
ACB,qa_047,mean_reversion,2,0.06309183402679308,0.7364662433992791,-0.08030457026051291,0.55,7,0.3710997578555749,0.3406873773800041,0.12995380790170774,0.15597410560886615,adx_14 < 25 | rsi_14 < 35 | close <= bb_lower,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
ACB,qa_039,mean_reversion,1,0.042265910678116025,0.5296550074327409,-0.145753547713125,0.5,14,0.24835656737718026,0.0,0.1380551823096703,0.11030138506750997,bb_percent < 0.2 | volume_ratio_20 > 1.0 | adx_14 < 25,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
ACB,qa_005,structure,3,0.05993476804054935,0.5549225025578824,-0.11070419136936242,0.5777777777777778,10,0.27330084341723354,0.5030497891334773,0.06252967549196395,0.08500872064190027,close > high_20_prev | breakdown_20_low <= False | volume_ratio_20 > 1.5,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
ACB,qa_055,mean_reversion,6,0.0627778442393514,0.5876733126111887,-0.17290410406443404,0.65,19,0.278089188764513,0.4969560289080513,0.10555700202060393,0.048293179516896254,willr_14 < -80 | close > kc_lower | bb_percent < 0.2,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
ACB,qa_071,mean_reversion,1,0.000616346204789231,0.20004235466262799,-0.003453512720156482,0.5,2,0.09951537864871947,0.0,0.06867784177617633,0.030837536872543134,stoch_k < 25 | close <= bb_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
ACB,qa_095,mean_reversion,1,0.000616346204789231,0.20004235466262799,-0.003453512720156482,0.5,2,0.09951537864871947,0.0,0.06867784177617633,0.030837536872543134,close <= bb_lower | bb_percent < 0.2 | stoch_k < 25,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
ACB,qa_013,structure,5,0.061312164099079115,0.532439806686904,-0.17827872362333713,0.4333333333333333,22,0.24895780784850832,0.51711142982809,0.09183838893196003,0.027841561459525793,close > supertrend_10_3 | aroon_up_14 > aroon_down_14 | volume_ratio_20 > 1.5 | breakdown_20_low <= False,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
ACB,qa_079,mean_reversion,4,0.004706577416281582,0.18174374568802068,-0.033884230105376556,0.7125,15,0.0855070000478195,0.23367046506900738,0.021682674757236,0.005406709023331655,adx_14 < 25 | stoch_k < 25 | close > kc_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
