symbol,best_strategy_id,best_final_score,best_total_return,best_sharpe_ratio,best_max_drawdown,best_win_rate,best_trades,ensemble_total_return,ensemble_sharpe_ratio,ensemble_max_drawdown,ensemble_win_rate,ensemble_trades
ACB,qa_043,0.7033756283494581,-0.022806874467600102,0.09222584153400835,-0.6285798668797156,0.3826086956521739,115,0.334691864667781,0.35332781443007144,-0.5086908643906616,0.423728813559322,472
BCM,qa_090,0.12773327042182903,0.2729998182478679,0.3025507640638752,-0.4601655125450804,0.35714285714285715,70,0.1838200569852637,0.25665408764135683,-0.3753551843032259,0.3333333333333333,579
BID,qa_015,0.6204331041352742,0.2357388825922253,0.525585558365515,-0.09859550561797747,0.631578947368421,19,0.6259270705278948,0.8435744221967552,-0.12602915659084468,0.5555555555555556,270
BVH,qa_070,0.47262692724968736,-0.06941995403325651,0.13300984875714894,-0.5104359904173202,0.3620689655172414,58,-0.0763404708444454,0.06143748025928146,-0.4492441684091606,0.36492890995260663,633
CTG,qa_097,0.8074917316176837,-0.022167752386154316,-0.15384113825743972,-0.0598402338990206,0.5,10,0.3426271511225991,0.40719527214277895,-0.4141277766508171,0.4638888888888889,360
FPT,qa_068,1.3358596680679482,1.236247037237416,0.9418413706542239,-0.3392986127861819,0.5151515151515151,33,0.8689468128560929,0.8421119240519312,-0.25782364101207567,0.45202020202020204,396
GAS,qa_078,1.9353019848815671,0.11512742105183604,0.22857319114765576,-0.4971115473561917,0.31746031746031744,63,0.24937612028112643,0.38799851187576373,-0.23974376215129056,0.416988416988417,518
GVR,qa_087,0.5801977363244777,0.2016503250809505,0.3493710356392181,-0.15886257629199063,0.5666666666666667,30,-0.08338660427238809,0.017525616549978505,-0.42171744876990647,0.3458528951486698,639
HDB,qa_055,0.7929769246370088,1.3819308766944243,0.654441896592435,-0.6572854546531239,0.40540540540540543,37,1.275192264698739,0.7958494905389801,-0.4273223674701463,0.4342105263157895,380
HPG,qa_056,1.163784654763131,0.13603258358505066,0.2216685139842603,-0.35942284543462777,0.4057971014492754,69,-0.06649787326726675,-0.0357836396300253,-0.3993543780327441,0.47770700636942676,471
MBB,qa_022,0.9591530474360831,0.8166889718669643,0.5306688071615698,-0.5525555479225887,0.43859649122807015,57,0.6778107562872135,0.5700401118628109,-0.4736934469295436,0.48541666666666666,480
MSN,qa_097,0.595503468952678,-0.06827524710211774,-0.39422809151625443,-0.0692088376363984,0.3076923076923077,13,0.14909845204517813,0.23074972190655013,-0.31093982371624884,0.3704600484261501,413
MWG,qa_051,1.4967451853884823,0.07640485091264781,0.16829052076334908,-0.29894535198029515,0.53125,128,0.3859291898757211,0.46092173777277756,-0.1443695463476452,0.46102819237147596,603
PLX,qa_080,1.0425884171626096,0.4153013088982058,0.36279555292044935,-0.3791521428672674,0.32642487046632124,193,0.10886122039828217,0.19849112131720803,-0.3496338908481482,0.33760683760683763,702
POW,qa_063,0.5689097237200884,0.20201789176977147,0.4254174187582905,-0.12270000980371631,0.4358974358974359,39,-0.0571615417621516,-0.011770482833273584,-0.2944308074180393,0.45989304812834225,374
SAB,qa_083,-0.017352495657228365,-0.03816320865763789,-0.09704325985373578,-0.09405917375973594,0.391304347826087,23,-0.005601089420690819,-0.003487672376227521,-0.09346747989032311,0.4473684210526316,190
SHB,qa_009,0.6045247211240797,1.2512907915817184,0.8068470239762547,-0.2824567512386743,0.35135135135135137,37,0.5297819466809512,0.491443041186639,-0.4637756102030358,0.35555555555555557,495
SSB,qa_057,0.027673711612118332,0.024519444809917523,0.4520932572479981,-0.015766854333716163,0.5,8,0.18790220037915906,0.3847185414242954,-0.18351756176392497,0.41118421052631576,304
SSI,qa_070,1.8903991347528197,-0.016668972107699687,0.20955177829772467,-0.7533626678266799,0.4117647058823529,85,0.6563440190169803,0.4913109790146009,-0.418829736783087,0.373015873015873,630
STB,qa_068,0.827558135888607,0.5697593009204891,0.5846697219529846,-0.30197855872118784,0.5357142857142857,28,0.7870387713366007,0.6871178643672459,-0.36205649404401874,0.46464646464646464,297
TCB,qa_093,1.2535184126248913,0.2072103560028664,0.2698183834085631,-0.6309203948299336,0.3142857142857143,70,0.308273794884375,0.33555910033169967,-0.5230586642411628,0.3917910447761194,536
TPB,qa_093,0.6927554585983202,-0.055600672144701546,0.10733341926484188,-0.4429112589282912,0.28378378378378377,74,0.17767491294272686,0.2589640327830829,-0.319659077331679,0.33519553072625696,358
VCB,qa_001,0.4471306622825335,0.462182074123737,0.49698053819114085,-0.2330235926541776,0.3953488372093023,43,0.2824759725565451,0.375836722232421,-0.22210987387931602,0.43452380952380953,336
VHM,qa_080,1.248987646906262,0.7269499857978805,0.4586830359780552,-0.6937767965031434,0.34220532319391633,263,0.44100182219180684,0.39536877616911614,-0.49824431706164507,0.31303288672350793,821
VIB,qa_103,0.5625785525611575,0.17617122252955508,0.2747307107169778,-0.39634736588990305,0.631578947368421,76,0.1357628221858882,0.24592551773325044,-0.3043773221724376,0.4460431654676259,417
VIC,qa_059,2.3774133955887007,5.634408824240163,1.2002623231986664,-0.4938055108769881,0.36129032258064514,155,5.14286353830178,1.3088518597830776,-0.45134958212412213,0.40194884287454324,821
VJC,qa_070,0.42733819061450956,-0.12169452569324002,0.061028156175827394,-0.5074986202127129,0.39622641509433965,53,0.030011431135159583,0.10591567705013885,-0.20995629954552275,0.45081967213114754,244
VNM,qa_009,0.40651419293065794,-0.18939444885454915,-0.406866286513428,-0.20802226777877442,0.3,20,-0.14719348789188003,-0.38647115675661614,-0.15531677104111996,0.30434782608695654,345
