date,equity,cash,positions,regime,gross_exposure
2021-01-04,100612.30144400001,38796.30144400001,12,NEUTRAL,0.6143980319782892
2021-01-05,100931.30144400001,38796.30144400001,12,NEUTRAL,0.615616752296358
2021-01-06,101680.30144400001,38796.30144400001,12,NEUTRAL,0.6184482058664341
2021-01-07,102414.38444400001,31864.38444400001,12,NEUTRAL,0.6888680763255146
2021-01-08,103570.38444400001,31864.38444400001,12,NEUTRAL,0.6923407727502554
2021-01-11,104037.38444400001,31864.38444400001,12,NEUTRAL,0.6937217845845444
2021-01-12,105100.50885300002,32798.50885300002,12,NEUTRAL,0.687931969017638
2021-01-13,104810.50885300002,32798.50885300002,12,NEUTRAL,0.6870685085691078
2021-01-14,105715.50885300002,32798.50885300002,12,NEUTRAL,0.689747424868312
2021-01-15,106309.50885300002,32798.50885300002,12,NEUTRAL,0.6914809483472234
2021-01-18,105327.50885300002,32798.50885300002,12,NEUTRAL,0.688604532565418
2021-01-19,100741.61047550003,32202.61047550002,12,NEUTRAL,0.6803444939632807
2021-01-20,100811.24531800002,38308.245318000016,12,NEUTRAL,0.6200002767830107
2021-01-21,103015.14217200002,31138.142172000018,12,NEUTRAL,0.6977323768576664
2021-01-22,103984.14217200002,31138.142172000018,12,NEUTRAL,0.700549126803446
2021-01-25,103437.14217200002,31138.142172000018,12,NEUTRAL,0.6989655599704979
2021-01-26,100998.42497750002,35005.42497750002,12,NEUTRAL,0.6534062290050724
2021-01-27,99104.81648750002,30699.816487500022,12,NEUTRAL,0.6902288145463429
2021-01-28,94801.12372996722,31402.756949967225,12,NEUTRAL,0.6687512160782476
2021-01-29,96800.38636296721,38970.193542967216,11,NEUTRAL,0.5974169628120825
2021-02-01,95268.7539529672,38970.193542967216,11,RISK_OFF,0.5909446494681119
2021-02-02,95657.99231146721,36849.90226146722,11,NEUTRAL,0.6147744545852261
2021-02-03,97854.35079546724,31257.45049546723,12,NEUTRAL,0.6805716839223553
2021-02-04,97675.86464546723,31257.45049546723,12,NEUTRAL,0.6799879826104229
2021-02-05,98728.64331546723,31257.45049546723,12,NEUTRAL,0.6834003846726585
2021-02-08,97635.83306546723,31257.45049546723,12,NEUTRAL,0.6798567747713246
2021-02-09,98808.05439546723,31257.45049546723,12,NEUTRAL,0.6836548327288878
2021-02-17,101405.92556346723,30678.67346346723,12,NEUTRAL,0.6974666589452282
2021-02-18,101846.54340846723,31678.12925846723,12,NEUTRAL,0.6889621562175314
2021-02-19,101549.95448846724,31678.12925846723,12,NEUTRAL,0.6880537325886755
2021-02-22,101441.33582046724,31555.348540467232,12,NEUTRAL,0.6889300768247524
2021-02-23,101731.33582046724,31555.348540467232,12,NEUTRAL,0.6898168269789037
2021-02-24,100426.80618046725,31555.348540467232,12,NEUTRAL,0.6857875925700336
2021-02-25,101027.27654046722,31555.348540467232,12,NEUTRAL,0.6876551598634107
2021-02-26,101528.74690046723,31555.348540467232,12,NEUTRAL,0.6891978921851342
2021-03-01,102949.37931046722,31555.348540467232,12,NEUTRAL,0.6934867528894476
2021-03-02,103003.84967046723,31555.348540467232,12,NEUTRAL,0.6936488428207298
2021-03-03,102952.13028046725,31555.348540467232,12,NEUTRAL,0.6934949431886197
2021-03-04,102398.07100046723,31555.348540467232,12,NEUTRAL,0.6918364942604901
2021-03-05,102602.76788846724,34650.47229846723,12,NEUTRAL,0.6622852091462726
2021-03-08,102484.25403846725,34650.47229846723,12,NEUTRAL,0.6618946722736425
2021-03-09,102429.04849846722,34650.47229846723,12,NEUTRAL,0.6617124457718091
2021-03-10,102345.21054846724,34650.47229846723,12,NEUTRAL,0.661435331338168
2021-03-11,103249.74018846723,34650.47229846723,12,NEUTRAL,0.6644013608633021
2021-03-12,103212.31331846723,34650.47229846723,12,NEUTRAL,0.6642796660166765
