symbol,trades,win_rate,avg_pnl_pct,total_pnl
MBB,2,1.0,0.2253045609788712,4976.113647000004
BID,6,0.5,0.056576191414715364,4476.475824000004
ACB,5,0.6,0.10974344186077553,4440.839181000004
DCM,1,1.0,0.18104220418860356,4361.676025000004
MSB,5,0.8,0.12958403222599268,4247.199847000002
GEX,2,1.0,0.23834896832086377,4076.340250000003
PLX,3,0.3333333333333333,0.05964696000974746,3881.501509000003
VCB,7,0.7142857142857143,0.07239074815922387,3799.5400000000063
BWE,9,0.5555555555555556,0.0305891445279714,3273.080618000004
VPI,6,0.8333333333333334,0.08665974647009467,3271.324483000003
PNJ,6,0.6666666666666666,0.0630260752077088,2925.8142570000064
SCS,9,0.4444444444444444,0.03987660627757711,2769.0661710000086
OCB,5,0.4,0.06174794383382067,2730.342539000002
NAB,3,0.6666666666666666,0.15073629070122227,2649.8768340000024
VRE,4,0.5,0.05886131860755618,2611.0409450000006
DXG,3,0.6666666666666666,0.1133294051738345,2591.0004510000017
REE,6,0.5,0.061927825758491754,2400.5734620000167
KDH,3,1.0,0.13731270642209178,2394.6951890000028
EIB,2,1.0,0.18426764634398635,2383.0533920000016
BVH,3,0.3333333333333333,0.06801961846006965,2368.4557620000023
VIC,4,0.5,0.08575691707374765,2223.8647720000035
HDC,3,1.0,0.12288003628625015,2150.8637560000006
EVF,2,1.0,0.09767723708081925,2129.9583840000005
PC1,5,0.6,0.03368358479875548,2049.1979770000044
SSB,3,0.3333333333333333,0.0345358387512011,1792.1322730000006
FRT,2,0.5,0.06269111519677678,1776.586460000006
LPB,2,1.0,0.2099077515304855,1764.0421220000017
NVL,4,0.75,0.08799125766859378,1730.7378329630683
DGC,3,0.6666666666666666,0.05921655400337563,1688.598438000001
HDG,4,0.5,0.058301512456970656,1543.0527630000033
PAN,5,0.4,0.0563487643690446,1536.0429490000083
BSR,3,0.6666666666666666,0.1471151477186519,1454.6582010000022
KOS,5,0.8,0.05991336285840308,1446.1482650000066
GEE,1,1.0,0.1812240851785355,1376.7224960000003
DGW,1,1.0,0.18847229680614258,1327.5083920000015
PDR,2,0.5,0.11634114770329122,1301.2384810000021
GAS,3,0.3333333333333333,0.0278264495361101,1300.207502000002
POW,3,0.3333333333333333,0.05606620429752831,1291.2778440000066
KBC,4,0.75,0.0844531434294094,1241.541212000002
BCM,3,0.6666666666666666,0.10999050753883105,1206.254301
MSN,2,0.5,0.07492506374616736,1145.6053360000014
HCM,2,0.5,0.08218881022244413,1111.3614100000032
NLG,1,1.0,0.2118038501074666,1042.59598
VJC,2,0.5,0.04077063320241222,952.0911500000038
STB,2,0.5,0.05816594609969625,919.2854000000016
SJS,3,0.3333333333333333,0.012058039106360585,915.2354260000029
FPT,1,1.0,0.2410516157600836,855.1964139999991
MWG,3,0.6666666666666666,0.056832202072574,602.5099469999986
SIP,5,0.6,0.023761599084963746,439.0565810000053
SHB,3,1.0,0.014940893156275574,377.14187000000493
HSG,3,0.3333333333333333,0.04504822288758306,371.3856330000008
CTD,2,0.5,0.03523921000256516,279.24547300000086
HT1,2,0.5,0.020084450172978562,221.1096800000014
PVT,4,0.25,-0.008717530785741688,190.71998300000405
BSI,3,0.3333333333333333,0.05250309785459913,175.58002800000304
HDB,1,1.0,0.002983317579362686,24.87838499999998
VPB,5,0.4,0.008454666552677556,-86.41450499999792
ANV,2,0.5,-0.009104799428096728,-90.3407249999982
VTP,4,0.25,-0.007605958001057206,-97.04714599999352
DSE,1,0.0,-0.033209698181212555,-153.50552000000062
DIG,1,0.0,-0.08573629782619041,-206.72778999999946
VGC,4,0.25,-0.007610385877745672,-252.07965599999625
CMG,2,0.0,-0.053888054339036845,-439.2133289999997
DXS,1,0.0,-0.06804826348476885,-460.16818199999943
PVD,3,0.0,-0.03206992835237108,-518.2081699999999
GVR,1,0.0,-0.10259611988093606,-604.1827019999992
VIB,2,0.5,-0.031063133711905583,-640.0947239999969
NKG,2,0.0,-0.027526927805938108,-741.4945999999945
HPG,4,0.5,-0.018897841678437458,-744.7884899999913
NT2,3,0.3333333333333333,0.05031628790212537,-871.8514659999928
DBC,2,0.0,-0.03262896650574082,-872.7017249999963
VIX,2,0.0,-0.03939515291420949,-888.2570439999963
IMP,4,0.25,-0.033835673937243224,-934.1622479999951
CII,2,0.0,-0.07309128840505588,-948.2240700000011
DPM,3,0.0,-0.020605494503866232,-954.352849999997
TCH,1,0.0,-0.18261016514643402,-957.3557039999978
FTS,1,0.0,-0.07160528666852495,-978.6172799999968
VSC,5,0.2,-0.016492043430357938,-1016.400168999995
CTR,3,0.0,-0.05067405256998625,-1122.4383569999973
GMD,2,0.0,-0.06674490281964005,-1188.357731
VCG,3,0.3333333333333333,-0.04120430778771398,-1252.856403999996
BMP,4,0.0,-0.051173950569154414,-1261.3239149999986
SSI,1,0.0,-0.07969000115326945,-1295.6099999999988
SBT,3,0.0,-0.05767840403484698,-1378.0803509999942
CTG,4,0.25,-0.054040582396532866,-1463.2881219999954
TCB,2,0.0,-0.05332830448403503,-1583.6686839999984
SAB,4,0.25,-0.02764689944247851,-1683.9582629999968
KDC,6,0.0,-0.04246272443563728,-1751.8399809999955
VHC,3,0.6666666666666666,0.06277159172271418,-2161.394177999996
VCI,3,0.3333333333333333,-0.02939189084637653,-2592.701663999993
VHM,2,0.0,-0.07052021715344914,-2625.9855789999956
SZC,4,0.0,-0.10071353918561445,-3174.8467209999963
VNM,6,0.16666666666666666,-0.03156674622081093,-4394.200741999984
TPB,4,0.25,-0.0399279797041156,-4645.524037999988
