symbol,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,strategy_ids,family_votes
BSI,2021-01-04,2021-01-07,9.074535,11.484255000000001,600,5444.721,6876.771894,1432.0508940000009,0.26301639588144204,TAKE_PROFIT,3,qa_013,structure
BCM,2021-01-04,2021-01-12,38.389185,50.05496,100,3838.9184999999998,4995.485008,1156.5665079999999,0.30127404580222267,TAKE_PROFIT,6,qa_013,structure
BSR,2021-01-04,2021-01-12,5.602799999999999,6.826585000000001,1000,5602.799999999999,6812.931830000001,1210.131830000002,0.21598697615478016,TAKE_PROFIT,6,qa_013,structure
ANV,2021-01-04,2021-01-19,11.22561,10.824585,500,5612.804999999999,5401.467915,-211.3370849999992,-0.03765266831824716,STOP_LOSS,11,qa_013,structure
BWE,2021-01-04,2021-01-19,25.562775,24.477755,200,5112.554999999999,4885.759897999999,-226.79510200000004,-0.04436042291965565,STOP_LOSS,11,qa_013,structure
BSR,2021-01-12,2021-01-19,6.833415,6.826585000000001,800,5466.732,5450.345464,-16.38653599999998,-0.0029975012493753082,STOP_LOSS,5,qa_013,structure
BID,2021-01-04,2021-01-20,27.4137,25.947020000000002,200,5482.74,5179.025192,-303.7148079999997,-0.05539471286254678,STOP_LOSS,12,qa_013,structure
BMP,2021-01-04,2021-01-20,39.479729999999996,37.10144,100,3947.9729999999995,3702.723712,-245.24928799999952,-0.06212030528070976,STOP_LOSS,12,qa_013,structure
BVH,2021-01-04,2021-01-20,58.00899,55.3723,100,5800.898999999999,5526.155540000001,-274.7434599999988,-0.047362220924721976,STOP_LOSS,12,qa_013,structure
CMG,2021-01-04,2021-01-20,16.238115,15.362315,300,4871.4345,4599.477111,-271.95738900000015,-0.05582696205809606,STOP_LOSS,12,qa_013,structure
BSI,2021-01-07,2021-01-20,11.495745,11.134430000000002,1200,13794.894,13334.593368000002,-460.3006319999986,-0.033367464222631836,STOP_LOSS,9,qa_013,structure
CTG,2021-01-12,2021-01-20,17.98899,16.71164,300,5396.697,5003.465016,-393.231984,-0.07286530705726113,STOP_LOSS,6,qa_013,structure
PVD,2021-01-19,2021-01-21,17.058525,16.15192,300,5117.5575,4835.884848,-281.6726520000002,-0.05504044693195928,STOP_LOSS,2,qa_013,structure
CTR,2021-01-19,2021-01-26,54.36717,52.053960000000004,100,5436.717000000001,5194.985208000001,-241.7317919999996,-0.0444628241639209,STOP_LOSS,5,qa_013,structure
SBT,2021-01-20,2021-01-26,17.34867,16.021985,300,5204.601,4796.982309,-407.61869099999967,-0.07831891263134286,STOP_LOSS,4,qa_013,structure
VIX,2021-01-21,2021-01-26,6.66333,6.4667650000000005,1800,11993.994,11616.896646000001,-377.09735399999954,-0.0314405154779967,STOP_LOSS,3,qa_013,structure
GVR,2021-01-20,2021-01-27,29.444715,26.476755,200,5888.942999999999,5284.760298,-604.1827019999992,-0.10259611988093606,STOP_LOSS,5,qa_013,structure
ACB,2021-01-04,2021-01-28,10.715355,9.75512,500,5357.677500000001,4867.80488,-489.872620000001,-0.09143376397702194,STOP_LOSS,18,qa_013,structure
CTD,2021-01-04,2021-01-28,50.72535,46.056960000000004,100,5072.535,4596.484608,-476.0503920000001,-0.09384861652014231,STOP_LOSS,18,qa_013,structure
SIP,2021-01-26,2021-01-28,64.062015,57.381295,100,6406.2015,5726.653241,-679.5482590000001,-0.10607662887281959,STOP_LOSS,2,"qa_017,qa_013","structure,trend"
CII,2021-01-04,2021-01-29,16.658324999999998,14.782605,300,4997.4974999999995,4425.911937,-571.5855629999996,-0.11437435696566126,STOP_LOSS,19,qa_013,structure
KBC,2021-01-19,2021-01-29,28.8144,25.717135000000003,200,5762.88,5133.140146000001,-629.7398539999995,-0.1092751981648064,STOP_LOSS,8,qa_013,structure
PVT,2021-01-20,2021-01-29,10.895445,9.37531,600,6537.267000000001,5613.935628,-923.3313720000006,-0.14124119024050882,STOP_LOSS,7,qa_013,structure
TCH,2021-01-20,2021-01-29,13.106549999999999,10.734630000000001,400,5242.619999999999,4285.264296000001,-957.3557039999978,-0.18261016514643402,STOP_LOSS,7,qa_013,structure
VRE,2021-01-20,2021-01-29,36.91845,29.835075000000003,100,3691.845,2977.540485,-714.3045149999998,-0.1934817184903483,STOP_LOSS,7,qa_013,structure
DXG,2021-01-26,2021-01-29,15.177584999999999,12.563715,400,6071.034,5015.435028,-1055.5989719999998,-0.17387465990142698,STOP_LOSS,3,"qa_017,qa_013","structure,trend"
SZC,2021-01-28,2021-02-02,25.242615,22.668660000000003,200,5048.523,4524.664536000001,-523.858463999999,-0.10376469791263682,STOP_LOSS,3,"qa_017,qa_013","structure,trend"
SIP,2021-01-29,2021-02-03,47.443709999999996,60.249860000000005,100,4744.370999999999,6012.936028000001,1268.5650280000018,0.2673831848310349,TAKE_PROFIT,3,qa_013,structure
DXG,2021-01-29,2021-02-17,12.576285,16.21189,400,5030.514,6471.786488000001,1441.2724880000005,0.2865060087299231,TAKE_PROFIT,8,"qa_017,qa_013","structure,trend"
SJS,2021-01-27,2021-02-18,11.975985,14.222885000000002,800,9580.788,11355.551384,1774.7633839999999,0.18524190118808598,TAKE_PROFIT,11,"qa_017,qa_013","structure,trend"
KBC,2021-01-29,2021-02-18,25.742865,31.484250000000003,100,2574.2864999999997,3142.12815,567.8416500000003,0.2205821496558368,TAKE_PROFIT,9,"qa_017,qa_013","structure,trend"
SBT,2021-02-18,2021-02-22,17.028509999999997,16.641675,400,6811.403999999999,6643.35666,-168.04733999999826,-0.024671468613519078,STOP_LOSS,2,"qa_017,qa_013","structure,trend"
DGW,2021-02-17,2021-03-05,17.608800000000002,20.969510000000003,400,7043.52,8371.028392000002,1327.5083920000015,0.18847229680614258,TAKE_PROFIT,12,"qa_017,qa_013","structure,trend"
VCG,2021-01-29,2021-03-23,27.323655,27.676155,100,2732.3655,2762.0802690000005,29.714769000000615,0.010875107667696952,SIGNAL_OFF,32,"qa_068,qa_013","structure,volatility"
PVD,2021-02-22,2021-03-24,16.898445,16.621685,400,6759.378,6635.376652,-124.00134799999978,-0.018345082639260563,SIGNAL_OFF,22,"qa_017,qa_013","structure,trend"
VSC,2021-02-02,2021-03-26,13.276634999999999,12.383805,500,6638.317499999999,6179.518695,-458.79880499999945,-0.06911371819741968,STOP_LOSS,33,"qa_017,qa_013","structure,trend"
BVH,2021-03-23,2021-03-26,53.856914999999994,51.214380000000006,100,5385.691499999999,5111.195124,-274.49637599999915,-0.05096771250265619,STOP_LOSS,3,"qa_068,qa_017,qa_013","structure,trend,volatility"
PDR,2021-02-03,2021-04-02,27.953969999999998,34.832575000000006,200,5590.794,6952.581970000001,1361.7879700000012,0.24357684615101205,TAKE_PROFIT,37,"qa_017,qa_013","structure,trend"
VIC,2021-03-24,2021-04-12,46.90344,55.47225,100,4690.344,5536.130550000001,845.7865500000007,0.18032505718130712,TAKE_PROFIT,13,"qa_068,qa_017,qa_013","structure,trend,volatility"
NVL,2021-01-28,2021-04-14,45.02545737795,54.381876059700005,100,4502.545737795,5427.31123075806,924.7654929630608,0.2053872513055114,TAKE_PROFIT,49,"qa_017,qa_013","structure,trend"
PC1,2021-02-03,2021-04-22,12.006,12.11394,500,6003.0,6044.856059999999,41.85605999999916,0.006972523738130795,SIGNAL_OFF,50,"qa_017,qa_013","structure,trend"
VPB,2021-02-18,2021-04-22,13.34667,16.17191,500,6673.335,8069.78309,1396.4480899999999,0.20925790328224192,TAKE_PROFIT,44,"qa_017,qa_013","structure,trend"
TPB,2021-04-14,2021-04-22,10.16508,9.5952,600,6099.048,5745.6057599999995,-353.4422400000003,-0.05795039488129956,STOP_LOSS,5,"qa_068,qa_017,qa_013","structure,trend,volatility"
DPM,2021-03-26,2021-04-23,7.333665,7.17641,1000,7333.665,7162.05718,-171.60782000000017,-0.023400008045090712,STOP_LOSS,19,"qa_068,qa_017,qa_013","structure,trend,volatility"
VNM,2021-04-23,2021-05-06,74.59728,69.965,200,14919.456,13965.014,-954.4420000000009,-0.0639729759583728,STOP_LOSS,7,"qa_068,qa_017,qa_013","structure,trend,volatility"
HSG,2021-04-12,2021-05-10,16.248119999999997,19.740125000000003,400,6499.247999999999,7880.257900000001,1381.0099000000027,0.21248764472443626,TAKE_PROFIT,17,"qa_068,qa_017,qa_013","structure,trend,volatility"
NLG,2021-01-28,2021-05-11,24.6123,29.88505,200,4922.46,5965.05598,1042.59598,0.2118038501074666,TAKE_PROFIT,65,"qa_017,qa_013","structure,trend"
VCB,2021-04-22,2021-05-18,44.89243499999999,41.49924000000001,100,4489.2435,4141.624152000001,-347.61934799999835,-0.077433836680946,STOP_LOSS,16,"qa_068,qa_017,qa_013","structure,trend,volatility"
VGC,2021-01-26,2021-05-21,26.233109999999996,24.737625,200,5246.621999999999,4937.6299500000005,-308.9920499999989,-0.058893522346378104,SIGNAL_OFF,75,"qa_017,qa_013","structure,trend"
PNJ,2021-03-26,2021-05-21,37.848915,44.627675,100,3784.8914999999997,4453.841965,668.9504649999999,0.1767423095219506,TAKE_PROFIT,37,"qa_068,qa_017,qa_013","structure,trend,volatility"
FPT,2021-04-22,2021-06-01,35.47773,44.11793,100,3547.773,4402.969413999999,855.1964139999991,0.2410516157600836,TAKE_PROFIT,26,"qa_068,qa_017,qa_013","structure,trend,volatility"
ACB,2021-05-10,2021-06-02,13.206599999999998,15.992,700,9244.619999999999,11172.0112,1927.3912000000018,0.2084878772734847,TAKE_PROFIT,17,"qa_068,qa_017,qa_013","structure,trend,volatility"
MSB,2021-05-18,2021-06-03,8.804400000000001,10.61469,500,4402.200000000001,5296.730309999999,894.5303099999983,0.20320074281041256,TAKE_PROFIT,12,"qa_068,qa_017,qa_013","structure,trend,volatility"
BCM,2021-01-20,2021-06-07,46.433204999999994,48.385795,100,4643.3205,4828.902341,185.58184100000017,0.03996748469118171,MAX_HOLDING,90,qa_013,structure
KOS,2021-01-29,2021-06-16,23.911949999999997,27.88605,200,4782.389999999999,5566.05558,783.6655800000008,0.16386484163775872,MAX_HOLDING,90,"qa_068,qa_013","structure,volatility"
VHC,2021-05-21,2021-06-17,27.223605,32.5837,100,2722.3605,3251.85326,529.4927600000001,0.19449766480229203,TAKE_PROFIT,19,"qa_068,qa_017,qa_013","structure,trend,volatility"
REE,2021-05-06,2021-07-06,28.484234999999998,29.14542,400,11393.694,11634.851664000002,241.15766400000211,0.02116588913130387,SIGNAL_OFF,43,"qa_068,qa_017,qa_013","structure,trend,volatility"
MSN,2021-04-02,2021-07-07,76.25810999999999,90.01497,100,7625.810999999999,8983.494006,1357.683006000002,0.17803785144950515,TAKE_PROFIT,65,"qa_068,qa_017,qa_013","structure,trend,volatility"
VCG,2021-06-17,2021-07-07,29.554769999999998,27.306340000000002,100,2955.477,2725.172732,-230.30426799999987,-0.07792456784471673,STOP_LOSS,14,"qa_068,qa_017,qa_013","structure,trend,volatility"
MWG,2021-04-22,2021-07-09,45.58278,55.012480000000004,100,4558.278,5490.245504,931.9675040000002,0.20445604765659314,TAKE_PROFIT,54,"qa_068,qa_017,qa_013","structure,trend,volatility"
IMP,2021-05-11,2021-07-12,29.124554999999997,30.50474,200,5824.910999999999,6088.746104000001,263.8351040000016,0.045294272135660375,SIGNAL_OFF,44,"qa_068,qa_017,qa_013","structure,trend,volatility"
BMP,2021-06-16,2021-07-12,40.14006,37.771105,100,4014.006,3769.556279,-244.44972099999995,-0.06089919173015684,STOP_LOSS,18,"qa_068,qa_017,qa_013","structure,trend,volatility"
VPB,2021-07-09,2021-07-13,22.421205,20.9895,400,8968.482,8379.008399999999,-589.4736000000012,-0.06572724347331033,STOP_LOSS,2,"qa_068,qa_017,qa_013","structure,trend,volatility"
SCS,2021-03-05,2021-07-14,52.70634,52.29384,100,5270.634,5218.925232,-51.70876800000042,-0.009810730170222486,MAX_HOLDING,90,"qa_068,qa_017,qa_013","structure,trend,volatility"
SIP,2021-06-07,2021-07-14,48.854414999999996,46.136919999999996,100,4885.4415,4604.464616,-280.9768839999997,-0.05751309968607744,SIGNAL_OFF,27,"qa_068,qa_017,qa_013","structure,trend,volatility"
NT2,2021-06-03,2021-07-19,14.167079999999999,14.002995,400,5666.831999999999,5589.995604000001,-76.83639599999879,-0.01355896839715714,SIGNAL_OFF,32,"qa_068,qa_017,qa_013","structure,trend,volatility"
PNJ,2021-07-07,2021-07-19,45.132554999999996,42.828575,100,4513.255499999999,4274.291785,-238.96371499999896,-0.052947083319346534,STOP_LOSS,8,"qa_068,qa_017,qa_013","structure,trend,volatility"
BWE,2021-06-01,2021-07-21,23.53176,28.595695000000003,200,4706.352,5707.7007220000005,1001.3487220000006,0.21276536944112992,TAKE_PROFIT,36,"qa_068,qa_017,qa_013","structure,trend,volatility"
VTP,2021-07-14,2021-08-23,45.532754999999995,45.207385,100,4553.2755,4511.697023000001,-41.57847699999911,-0.009131553098423128,SIGNAL_OFF,28,"qa_068,qa_017,qa_013","structure,trend,volatility"
