strategy_id,family,logic,conditions,risk,symbols_tested,avg_score,score_std,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades,risk_rejections,qa_score
qa_055,mean_reversion,OR,willr_14 < -80 | close > kc_lower | bb_percent < 0.2,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",11,0.8025761620260333,0.739824404987649,0.22941097203347266,1.5326895576428528,-0.16295954202717372,0.541540404040404,110,5,0.7066017805708453
qa_068,volatility,AND,kc_width < 0.12 | bb_width < 0.12,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",18,0.3937745209755888,0.7328294970941274,0.0627231718272358,0.7913573658132882,-0.10360556739613051,0.551736111111111,278,4,0.4610222484039985
qa_017,trend,OR,dmp_14 > dmn_14 | close > sma50,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",14,0.457239218532354,0.6696927349298629,0.14277139247568463,0.880819267820826,-0.13000916560382234,0.3930725623582766,214,4,0.4573435533455642
qa_103,mean_reversion,AND,stoch_k < 25 | willr_14 < -80,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",16,0.3383942853393005,0.6333415494455229,0.024583107975464837,0.6805649895905845,-0.046315709243156304,0.6300911854103344,282,4,0.4205142447982628
qa_013,structure,OR,close > supertrend_10_3 | aroon_up_14 > aroon_down_14 | volume_ratio_20 > 1.5 | breakdown_20_low <= False,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",11,0.49800472904598486,0.6880531072729278,0.1463240049707393,0.9794789911918432,-0.17815984020579229,0.3998737373737374,132,6,0.41483019742843286
qa_071,mean_reversion,AND,stoch_k < 25 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",23,0.14773347025442907,0.5816664937238059,0.008292425405982221,0.2996964366629572,-0.023012378494220966,0.5240800865800865,321,4,0.3960958649781197
qa_095,mean_reversion,AND,close <= bb_lower | bb_percent < 0.2 | stoch_k < 25,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",21,0.17371457287334394,0.5605677953588016,0.00848347313622597,0.3513675151427345,-0.022571133194455355,0.5326479076479076,283,4,0.389615947879704
qa_044,volatility,AND,bb_percent < 0.2 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",21,0.18429811969168036,0.6021231194326737,0.008748299433070013,0.37507587588597624,-0.02932154040614359,0.5859638357061038,342,4,0.3832924887480943
qa_039,mean_reversion,OR,bb_percent < 0.2 | volume_ratio_20 > 1.0 | adx_14 < 25,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",3,0.6106639849737516,0.5285806409955571,0.12327646866899927,1.2057835150760283,-0.14605356582481213,0.5073099415204678,60,5,0.37454201258662245
qa_087,mean_reversion,AND,stoch_k < 25 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",20,0.1424575314136564,0.5151822041093369,0.005979701167324852,0.28803099882690836,-0.01675939174997614,0.47000962000962,191,4,0.35627797286289686
