family,feature_date,entry_date,regime_router_state,strategy,symbol,rank,edge_rank_score,edge_score,smart_money_score,rs_percentile_20,mkt_regime_state,mkt_regime_score,kalman_confidence,kalman_shock_score,kalman_adaptive_trend_5d,kalman_adaptive_residual_pct
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,breakout_after_accumulation_v3,HCM,1,3.225,100.0,81.69,0.9477,NEUTRAL,50.66,1.0,0.5911,0.0271,0.009
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,breakout_after_accumulation_v3,GEX,2,2.925,100.0,78.1,0.9739,NEUTRAL,50.66,0.9273,1.8409,0.0066,0.0521
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,compression_breakout_smt_v1,VCG,1,3.6,76.31,64.17,0.817,NEUTRAL,50.66,1.0,0.9354,0.0104,0.0159
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,compression_breakout_smt_v1,HSG,2,2.9,66.9,60.98,0.8693,NEUTRAL,50.66,1.0,0.0656,0.012,-0.0008
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,compression_breakout_smt_v1,MWG,3,2.5,76.38,65.84,0.8235,NEUTRAL,50.66,1.0,0.1458,0.0112,-0.002
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,mean_reversion_uptrend_ma50_v1,BWE,1,2.9778,57.07,58.71,0.5882,NEUTRAL,50.66,0.3321,0.4293,0.0009,0.0122
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,mean_reversion_uptrend_ma50_v1,PDR,2,2.5889,71.91,62.49,0.6797,NEUTRAL,50.66,1.0,0.3678,0.0038,0.0083
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,mean_reversion_uptrend_ma50_v1,MWG,3,2.4,76.38,65.84,0.8235,NEUTRAL,50.66,1.0,0.1458,0.0112,-0.002
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,mean_reversion_uptrend_ma50_v1,GMD,4,2.2222,77.97,68.47,0.8889,NEUTRAL,50.66,1.0,1.2101,0.017,0.023
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,mean_reversion_uptrend_ma50_v1,HDB,5,2.1444,73.46,63.25,0.6601,NEUTRAL,50.66,1.0,0.3873,0.0068,-0.0059
No Kalman - MVP Router,2026-05-06,2026-05-07,MVP_ELIGIBLE,mean_reversion_uptrend_ma50_v1,PAN,6,1.5444,79.69,61.45,0.6078,NEUTRAL,50.66,1.0,0.0123,0.003,0.0001
